V1
41000 Arquitectura
41003 Artes Visuales
41139 Diseño de Juegos Digitales
41160 Diseño de Productos
41138 Diseño de Vestuario y Textil
41002 Diseño Gráfico
41019 Periodismo
41020 Publicidad
FACULTAD CIENCIAS DE LA REHABILITACIÓ
41008 Fonoaudiología
41009 Kinesiología
41010 Terapia Ocupacional
FACULTAD ECONOMÍA Y NEGOCIOS
41028 Ingeniería Comercial (Casona) (2)
41129 Ingeniería Comercial (2)
41176 Ingeniería Comercial (Vespertino) (2)
41027 Contador Auditor
41175 Contador Auditor (Vespertino)
41029 Ingeniería en Administración de Empresas
Ingeniería en Administración de Empresas
41174
(Vespertino)
Ingeniería en Administración Hotelera
41030
Internacional (3)
41031 Ingeniería en Turismo y Hotelería
FACULTAD EDUCACIÓN (9)
41034 Educación Física
41180 Educación Física (Vespertino)
41035 Educación General Básica
41036 Educación Musical
41037 Educación Parvularia
41182 Educación Parvularia (Vespertino)
41041 Pedagogía en Inglés
41042 Psicopedagogía
41181 Psicopedagogía (Vespertino)
FACULTAD DERECHO
41021 Derecho (4)
41170 Derecho (Vespertino) (4)
FACULTAD CIENCIAS BIOLÓGICAS
41004 Bachillerato en Ciencias (1)
41128 Bachillerato en Ciencias (Casona) (1)
41005 Bioquímica
41140 Ingeniería Bioinformática
41006 Ingeniería en Biotecnología
41007 Biología
FACULTAD CIENCIAS EXACTAS
41011 Ingeniería Física
41012 Licenciatura en Astronomía
41013 Licenciatura en Física
41014 Licenciatura en Química
FACULTAD ECOLOGÍA Y RECURSOS NATURA
41022 Biología Marina
41023 Ecoturismo
41024 Ingeniería Ambiental
41026 Medicina Veterinaria
FACULTAD ENFERMERÍA
41032 Enfermería
FACULTAD HUMANIDADES Y CIENCIAS SOCI
41033 Bachillerato en Humanidades (1)
41039 Licenciatura en Historia
41040 Licenciatura en Letras
41015 Psicología
41195 Psicología (Vespertino)
41016 Sociología
41017 Trabajo Social
41184 Trabajo Social (Vespertino)
FACULTAD INGENIERÍA
41043 Geología
41044 Ingeniería Civil
41131 Ingeniería Civil en Metalurgia
41130 Ingeniería Civil en Minas
41046 Ingeniería Civil Industrial
41190 Ingeniería Civil Industrial (Vespertino)
41045 Ingeniería Civil Informática
41047 Ingeniería en Automatización y Robótica
Ingeniería en Automatización y Robótica
41187
(Vespertino)
41048 Ingeniería en Computación e Informática
Ingeniería en Computación e Informática
41189
(Vespertino)
41049 Ingeniería en Construcción
41055 Ingeniería Industrial
41188 Ingeniería Industrial (Vespertino)
Ingeniería en Logística y Transporte
41186
(Vespertino)
Ingeniería en Seguridad y Prevención de
41191
Riesgos (Vespertino)
Ingeniería en Telecomunicaciones
41192
(Vespertino)
FACULTAD MEDICINA
41056 Medicina
41057 Nutrición y Dietética
41168 Obstetricia
41058 Química y Farmacia
41059 Tecnología Medica (5)
FACULTAD ODONTOLOGÍA
41060 Odontología
"FACULTAD ARQUITECTURA, ARTE, DISEÑO"
41061 Arquitectura
41062 Diseño Gráfico
FACULTAD CIENCIAS BIOLÓGICAS
41063 Bachillerato en Ciencias (1)
41064 Ingeniería en Biotecnología
FACULTAD CIENCIAS DE LA REHABILITACIÓ
41163 Fonoaudiología
41066 Kinesiología
41067 Terapia Ocupacional
FACULTAD DERECHO
41071 Derecho (4)
41171 Derecho (Vespertino) (4)
FACULTAD ECOLOGÍA Y RECURSOS NATURA
41072 Ecoturismo
41165 Medicina Veterinaria
FACULTAD ECONOMÍA Y NEGOCIOS
41075 Contador Auditor
41179 Contador Auditor (Vespertino)
41076 Ingeniería Comercial (2)
41178 Ingeniería Comercial (Vespertino)
41077 Ingeniería en Administración de Empresas
Ingeniería en Administración de Empresas
41177
(Vespertino)
41136 Ingeniería en Turismo y Hotelería
FACULTAD ENFERMERÍA
41078 Enfermería
FACULTAD EDUCACIÓN (9)
41080 Educación Física
41081 Educación General Básica
41082 Educación Parvularia
41086 Pedagogía en Inglés
41087 Psicopedagogía
FACULTAD HUMANIDADES Y CIENCIAS SOCI
41084 Licenciatura en Historia
41068 Psicología
41196 Psicología (Vespertino)
41069 Sociología
41070 Trabajo Social
FACULTAD INGENIERÍA
41088 Geología
41135 Ingeniería Civil en Metalurgia
41134 Ingeniería Civil en Minas
41089 Ingeniería Civil Industrial
41193 Ingeniería Industrial (Vespertino)
41162 Ingeniería Civil Informática
41090 Ingeniería en Computación e Informática
41091 Ingeniería en Marina Mercante  (6)
41093 Ingeniería en Transporte Marítimo
FACULTAD MEDICINA
41095 Medicina
41096 Nutrición y Dietética
41169 Obstetricia
41097 Química y Farmacia
41098 Tecnología Médica  (7)
41099 Odontología
FACULTAD CIENCIAS BIOLÓGICAS
41100 Bachillerato en Ciencias (1)
FACULTAD CIENCIAS DE LA REHABILITACIÓ
41156 Fonoaudiología
41102 Kinesiología
41103 Terapia Ocupacional
FACULTAD DERECHO
41106 Derecho (4)
FACULTAD ECOLOGÍA Y RECURSOS NATURA
41107 Ecoturismo
FACULTAD ECONOMÍA Y NEGOCIOS
41173 Contador Auditor (Vespertino)
Ingeniería en Administración de Empresas
41172
(Vespertino)
41109 Ingeniería Comercial (2)
FACULTAD ENFERMERÍA
41111 Enfermería
FACULTAD EDUCACIÓN (9)
41112 Educación Física
41116 Pedagogía en Inglés
41117 Psicopedagogía
FACULTAD HUMANIDADES Y CIENCIAS SOCI
41104 Psicología
41194 Psicología (Vespertino)
41105 Trabajo Social
41183 Trabajo Social (Vespertino)
FACULTAD INGENIERÍA
41118 Geología
41119 Ingeniería Civil
41154 Ingeniería Civil en Metalurgia
41153 Ingeniería Civil en Minas
41121 Ingeniería Civil Industrial
41123 Ingeniería en Marina Mercante  (6)
41185 Ingeniería Industrial  (Vespertino)
FACULTAD MEDICINA
41164 Medicina
41125 Nutrición y Dietética
41159 Obstetricia
41167 Química y Farmacia
41126 Tecnología Médica  (8)
FACULTAD ODONTOLOGÍA
41127 Odontología
