V1
30080 Ing. Civil Industrial m. Bioprocesos (1)
30002 Ing. Civil Industrial m. Informática (1)
30075 Ing. Civil Industrial m. Mecánica (1)
30079 Ingeniería  Civil Ambiental (1)
30077 Ingeniería Civil Eléctrica (1)
30012 Ingeniería Civil Electrónica (1)
30078 Ingeniería  Civil Matemática (1)
30074 Ingeniería Civil Telemática (1)
30090 Ingeniería Civil en Biotecnología (1)
30094 Ingeniería Civil (1)
30095 Ingeniería Civil Informática (1)
30096 Ingeniería Civil Mecánica (1)
30038 Ingeniería Civil Química (1)
Plan Común Ingeniería Civil (6)
Conduce a:
Ing. Civil Industrial m. Bioprocesos (1)
Ing. Civil Industrial m. Informática (1)
Ing. Civil Industrial m. Mecánica (1)
Ingeniería  Civil Ambiental (1)
Ingeniería Civil Eléctrica (1)
30076
Ingeniería Civil Electrónica (1)
Ingeniería  Civil Matemática (1)
Ingeniería Civil Telemática (1)
Ingeniería Civil en Biotecnología (1)
Ingeniería Civil Física (1) (7)
Ingeniería Civil Mecánica (1)
Ingeniería Civil Química(1)
30007 Ingeniería en Construcción (1)
30086 Ingeniería Informática (1)
30073 Bioquímica (2)
FACULTAD DE MEDICINA (*)
30020 Enfermería (2)
30021 Fonoaudiología (2) (5)
30022 Terapia Ocupacional (2)
30023 Kinesiología (2)
30024 Química y Farmacia (2)
30026 Medicina (2)
30029 Nutrición y Dietética (2)
30032 Obstetricia y Puericultura (2)
30035 Tecnología Médica (2) (3)
FACULTAD DE ODONTOLOGÍA (*)
30033 Odontología (2)
"FACULTAD DE EDUCACIÓN, CIENCIAS SOCIA"
30044 Ped. Castellano y Comunicación (4) (
"Ped. Educación Física, Deportes y"
30047
Recreación (4) (5)
"Ped. Historia, Geografía y Educación"
30055
Cívica (4)
30058 Ped. Matemática (4)
30056 Pedagogía en Ingles (4)
"Ped. Ciencias, m. Biología, Química o"
30060
Física (4)
30064 Psicología  (2)
30066 Trabajo Social (2)
30091 Periodismo (2)
30092 Sociología (2)
Bachillerato en Ciencias Sociales  (8) (9)
Conduce a:
Pedagogía en Castellano y Comunicación (4)
"Ped. Historia, Geografía y Educación Cívica (4)"
30065 Psicología  (2)
Trabajo Social (2)
Periodismo (2)
Sociología (2)
Derecho (2)
FACULTAD DE CIENCIAS AGROPECUARIAS Y
30068 Biotecnología (2)
30069 Ingeniería en Recursos Naturales (2)
30070 Agronomía (2)
FACULTAD DE CIENCIAS JURÍDICAS Y EMPRE
30039 Derecho (2)
30085 Ingeniería Comercial (2)
30000 Contador Público y Auditor  (2)
