carrera_id,area_id,region_id,institution_id,program,degree,specialization_or_observations
37012,NA,NA,88,Ingeniería en Acuicultura,NA,NA
41074,NA,NA,78,Ingeniería en Acuicultura,NA,NA
41025,NA,NA,78,Ingeniería en Acuicultura,NA,NA
14084,NA,NA,73,Ingeniería en Acuicultura o Ingeniería Pesquera,NA,NA
36014,NA,NA,85,Ingeniería en Acuicultura y Pesca,NA,NA
39115,4,13,120,Ingeniería en Administración,NA,NA
41110,NA,NA,78,Ingeniería en Administración,NA,NA
21015,1,13,129,Ingeniería en Administración Agroindustrial,NA,NA
21060,NA,NA,129,Ingeniería en Administración Agroindustrial,NA,NA
25069,8,4,100,Ingeniería en Administración de Empresas,NA,NA
41029,10,13,78,Ingeniería en Administración de Empresas,NA,NA
41077,10,5,78,Ingeniería en Administración de Empresas,NA,NA
32013,NA,NA,105,Ingeniería en Administración de Negocios,NA,NA
41030,4,13,78,Ingeniería en Administración Hotelera Internacional,NA,NA
16068,1,13,109,Ingeniería en Agronegocios,NA,NA
17053,1,14,80,Ingeniería en Alimentos,Licenciatura en Ciencias de los Alimentos,NA
11031,1,13,96,Ingeniería en Alimentos,Licenciatura en Ciencias de los Alimentos,NA
24037,NA,NA,92,Ingeniería en Alimentos,NA,NA
29051,1,8,101,Ingeniería en Alimentos,NA,NA
25014,8,4,100,Ingeniería en Alimentos,NA,NA
32023,8,10,105,Ingeniería en Alimentos,NA,NA
13021,NA,NA,97,Ingeniería en Alimentos,NA,NA
30004,NA,NA,98,Ingeniería en Alimentos,NA,NA
41047,8,13,78,Ingeniería en Automatización y Robótica,NA,NA
15090,NA,NA,127,Ingeniería en Aviación Comercial,NA,NA
15220,8,13,127,Ingeniería en Aviación Comercial,NA,NA
34009,NA,NA,110,Ingeniería en Bioinformática,NA,NA
24082,NA,NA,92,Ingeniería en Bioprocesos,NA,NA
23056,8,1,79,Ingeniería en Biotecnología,NA,NA
16010,8,13,109,Ingeniería en Biotecnología,NA,NA
21073,8,13,129,Ingeniería en Biotecnología,NA,NA
32017,NA,NA,105,Ingeniería en Biotecnología,NA,NA
35033,8,7,86,Ingeniería en Biotecnología,NA,NA
41006,3,13,78,Ingeniería en Biotecnología,NA,NA
41064,3,5,78,Ingeniería en Biotecnología,NA,NA
13016,1,8,97,Ingeniería en Biotecnología Marina y Acuicultura,NA,NA
11039,3,13,96,Ingeniería en Biotecnología Molecular,Licenciatura en Biotecnología Molecular,NA
13085,7,8,97,Ingeniería en Biotecnología Vegetal,NA,NA
13020,3,8,97,Ingeniería en Biotecnología Vegetal,NA,NA
21081,4,13,129,Ingeniería en Comercio Internacional,NA,NA
17059,NA,NA,80,Ingeniería en Computación,NA,NA
25034,8,4,100,Ingeniería en Computación,NA,NA
18057,8,2,87,Ingeniería en Computación e Informática,NA,NA
41048,8,13,78,Ingeniería en Computación e Informática,NA,NA
41090,8,5,78,Ingeniería en Computación e Informática,NA,NA
33161,NA,NA,107,Ingeniería en Computación e Informática,NA,NA
17827,1,14,80,Ingeniería en Conservación de Recursos Naturales,NA,NA
17075,NA,NA,80,Ingeniería en Conservación de Recursos Naturales,Licenciatura en Conservación de Recursos Naturales,NA
13043,1,8,97,Ingeniería en Conservación de Recursos Naturales,NA,NA
17037,8,14,80,Ingeniería en Construcción,Licenciatura en Ciencias de la Construcción,NA
29005,8,8,101,Ingeniería en Construcción,NA,NA
33070,8,12,107,Ingeniería en Construcción,NA,NA
25010,8,4,100,Ingeniería en Construcción,NA,NA
14071,8,5,73,Ingeniería en Construcción,NA,NA
30007,8,9,98,Ingeniería en Construcción,NA,NA
18041,8,2,87,Ingeniería en Construcción,NA,NA
19026,8,5,112,Ingeniería en Construcción,NA,NA
21032,8,13,129,Ingeniería en Construcción,NA,NA
35041,8,7,86,Ingeniería en Construcción,NA,NA
39402,8,9,120,Ingeniería en Construcción,NA,NA
41049,8,13,78,Ingeniería en Construcción,NA,NA
40042,8,13,115,Ingeniería en Control de Gestión,NA,NA
38292,4,13,114,Ingeniería en Control de Gestión,NA,NA
34079,8,7,110,Ingeniería en Desarrollo de Videojuegos y Realidad Virtual,NA,NA
15024,NA,NA,127,Ingeniería en Diseño de Productos,NA,NA
15181,8,5,127,Ingeniería en Diseño de Productos,NA,NA
21036,NA,NA,129,Ingeniería en Electrónica,NA,NA
19072,4,5,112,Ingeniería en Estadística,NA,NA
26068,8,5,108,Ingeniería en Estadística,Licenciado en Ciencias de la Ingeniería,NA
24066,NA,NA,92,Ingeniería en Estadística,Licenciado en Estadística,NA
15048,NA,NA,127,Ingeniería en Fabricación y Diseño Industrial,NA,NA
15441,8,5,127,Ingeniería en Fabricación y Diseño Industrial,NA,NA
13017,NA,NA,97,Ingeniería en Geoinformación,NA,NA
21031,8,13,129,Ingeniería en Geomensura,NA,NA
41050,NA,NA,78,Ingeniería en Gestión Informática,NA,NA
21082,4,13,129,Ingeniería en Gestión Turística,NA,NA
21039,8,13,129,Ingeniería en Industria Alimentaria,NA,NA
21038,NA,NA,129,Ingeniería en Industria de la Madera,NA,NA
34008,NA,NA,110,Ingeniería en Industrias de la Madera,NA,NA
17815,4,10,80,Ingeniería en Información y Control de Gestión,Licenciatura en Ciencias de la Información y Control de Gestión,NA
11027,10,13,96,Ingeniería en Información y Control de Gestión,Licenciatura en Sistemas de Información y Control de Gestión,NA
22008,4,15,111,Ingeniería en Información y Control de Gestión,NA,NA
23062,4,1,79,Ingeniería en Información y Control de Gestión,NA,NA
17045,NA,NA,80,Ingeniería en Información y Control de Gestión,Licenciatura en Gestión de la Información,NA
18071,4,2,87,Ingeniería en Información y Control de Gestión,NA,NA
18094,4,4,87,Ingeniería en Información y Control de Gestión,NA,NA
19083,10,5,112,Ingeniería en Información y Control de Gestión,NA,NA
11041,NA,NA,96,Ingeniería en Información y Control de Gestión y/o Contador Auditor,NA,NA
22006,NA,NA,111,Ingeniería en Información y Control de Gestión y/o Contador Auditor,NA,NA
21030,8,13,129,Ingeniería en Informática,NA,NA
19073,NA,NA,112,Ingeniería en Informática Aplicada,NA,NA
41051,NA,NA,78,Ingeniería en Logística y Transporte,NA,NA
17083,NA,NA,80,Ingeniería en Maderas,NA,NA
41091,8,5,78,Ingeniería en Marina Mercante,NA,NA
41123,8,8,78,Ingeniería en Marina Mercante,NA,NA
21037,NA,NA,129,Ingeniería en Mecánica,NA,NA
34065,NA,NA,110,Ingeniería en Mecatrónica,NA,NA
32019,NA,NA,105,Ingeniería en Medio Ambiente y Manejo Costero,NA,NA
18058,8,2,87,Ingeniería en Metalurgia,NA,NA
19088,4,5,112,Ingeniería en Negocios Internacionales,NA,NA
19089,4,13,112,Ingeniería en Negocios Internacionales,NA,NA
21042,NA,NA,129,Ingeniería en Prevención de Riesgo y Medio Ambiente,NA,NA
21008,NA,NA,129,Ingeniería en Prevención de Riesgos,NA,NA
13084,8,8,97,Ingeniería en Prevención de Riesgos,NA,NA
15049,NA,NA,127,Ingeniería en Prevención de Riesgos Laborales y Ambientales,NA,NA
15068,NA,NA,127,Ingeniería en Prevención de Riesgos Laborales y Ambientales,NA,NA
15474,8,5,127,Ingeniería en Prevención de Riesgos Laborales y Ambientales,NA,NA
15574,8,8,127,Ingeniería en Prevención de Riesgos Laborales y Ambientales,NA,NA
37063,8,9,88,Ingeniería en Prevención de Riesgos y Medioambiente,NA,NA
18076,8,2,87,Ingeniería en Prevención de Riesgos y Medioambiente,NA,NA
18086,8,4,87,Ingeniería en Prevención de Riesgos y Medioambiente,NA,NA
18059,8,2,87,Ingeniería en Procesos Químicos,NA,NA
21080,3,13,129,Ingeniería en Química,NA,NA
29069,1,8,101,Ingeniería en Recursos Naturales,NA,NA
30069,1,9,98,Ingeniería en Recursos Naturales,NA,NA
11024,1,13,96,Ingeniería en Recursos Naturales Renovables,Licenciatura en Ciencias de los Recursos Naturales Renovables,NA
37050,1,9,88,Ingeniería en Recursos Naturales Renovables,NA,NA
22081,NA,NA,111,Ingeniería en Redes Computacionales,NA,NA
41053,NA,NA,78,Ingeniería en Seguridad y Prevención de Riesgos,NA,NA
41092,NA,NA,78,Ingeniería en Seguridad y Prevención de Riesgos,NA,NA
41137,NA,NA,78,Ingeniería en Telecomunicaciones,NA,NA
41093,8,5,78,Ingeniería en Transporte Marítimo,NA,NA
21025,8,13,129,Ingeniería en Transporte y Tránsito,NA,NA
41031,4,13,78,Ingeniería en Turismo y Hotelería,NA,NA
41136,4,5,78,Ingeniería en Turismo y Hotelería,NA,NA
29018,4,8,101,Ingeniería Estadística,NA,NA
16048,4,13,109,Ingeniería Estadística,NA,NA
13065,4,8,97,Ingeniería Estadística,NA,NA
16042,3,13,109,Ingeniería Física,NA,NA
41011,3,13,78,Ingeniería Física,NA,NA
11021,1,13,96,Ingeniería Forestal,Licenciatura en Ciencias Forestales,NA
17010,NA,NA,80,Ingeniería Forestal,NA,NA
13008,1,8,97,Ingeniería Forestal,NA,NA
30071,NA,NA,98,Ingeniería Forestal,NA,NA
34002,NA,NA,110,Ingeniería Forestal,NA,NA
35032,NA,NA,86,Ingeniería Forestal,NA,NA
37010,NA,NA,88,Ingeniería Forestal,NA,NA
39116,1,13,120,Ingeniería Forestal,NA,NA
41054,NA,NA,78,Ingeniería Geológica,NA,NA
13093,8,8,97,Ingeniería Geomática,NA,NA
19066,NA,NA,112,Ingeniería Industrial,NA,NA
21045,8,13,129,Ingeniería Industrial,NA,NA
41055,8,13,78,Ingeniería Industrial,NA,NA
30086,8,9,98,Ingeniería Informática,NA,NA
34019,4,7,110,Ingeniería Informática Empresarial,NA,NA
36008,NA,NA,85,Ingeniería Marítimo Portuaria,NA,NA
16047,3,13,109,Ingeniería Matemática,NA,NA
30084,NA,NA,98,Ingeniería Matemática,NA,NA
14072,8,5,73,Ingeniería Mecánica,NA,NA
17048,NA,NA,80,Ingeniería Mecánica,NA,NA
30081,NA,NA,98,Ingeniería Mecánica,NA,NA
34066,NA,NA,110,Ingeniería Mecánica,NA,NA
15016,NA,NA,127,Ingeniería Mecánica Industrial,NA,NA
