V1
21002 Bibliotecología y Documentación
21012 Contador Público y Auditor
21015 Ingeniería en Administración Agroindustrial
21048 Ingeniería Comercial
21081 Ingeniería en Comercio Internacional
21082 Ingeniería en Gestión Turística
21089 Administración Pública
FACULTAD DE CIENCIAS DE LA CONSTRUCCIÓ
21032 Ingeniería en Construcción
21047 Arquitectura
21074 Ingeniería Civil en Obras Civiles
Ing.Civil en Prevención de Riesgos y Medio
21087
Ambiente
"FACULTAD DE CIENCIAS NATURALES, MATEM"
Ingeniería en Industria Alimentaria
21039
21073 Ingeniería en Biotecnología
21080 Ingeniería en Química
21083 Química Industrial
FACULTAD DE HUMANIDADES Y TECNOLOGÍA
21023 Diseño Industrial
21024 Diseño en Comunicación Visual
21043 Trabajo Social
21088 Cartografía y Geomática
FACULTAD DE HUMANIDADES Y TECNOLOGÍA
21025 Ingeniería en Transporte y Tránsito
21030 Ingeniería en Informática
21031 Ingeniería en Geomensura
21041 Ing. Civil en Computación  M/ Informática
21045 Ingeniería Industrial
21046 Bachillerato en Ciencias de la Ingeniería (1)
21071 Dibujante Proyectista
21075 Ingeniería Civil  Electrónica
21076 Ingeniería Civil Industrial (2)
21096 Ingeniería Civil en Mecánica
