"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"42","comuna","Aysén","13","1990","Hombre","Fuerzas Armadas",163770,72480,"[77131, 290999]","[65232, 241600]"
"43","comuna","Aysén","13","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",225878,207720,"[158682, 316800]","[131672, 356400]"
"44","comuna","Aysén","13","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",163080,163080,"[144960, 181200]","[144960, 181200]"
"45","comuna","Aysén","13","1990","Hombre","Profesionales, Científicos e Intelectuales",140834,99000,"[111398, 180628]","[79954, 116406]"
"46","comuna","Aysén","13","1990","Hombre","Técnicos y Profesionales de Nivel Medio",137371,99000,"[91668, 193654]","[59400, 159900]"
"47","comuna","Aysén","13","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",50141,36240,"[41244, 61000]","[31408, 50332]"
"48","comuna","Aysén","13","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",60903,57984,"[52900, 68777]","[46917, 62816]"
"49","comuna","Aysén","13","1990","Hombre","Trabajadores de Servicios y Vendedores",67422,57984,"[56210, 79919]","[51480, 64024]"
"50","comuna","Aysén","13","1990","Hombre","Trabajadores No Calificados",33824,33824,"[689, 31094]","[689, 31094]"
"51","comuna","Buin","14","1990","Hombre","Empleados de Oficina",47035,41918,"[35083, 73268]","[31982, 48320]"
"52","comuna","Buin","14","1990","Hombre","Fuerzas Armadas",396680,308905,"[112574, 797064]","[44696, 1208000]"
"53","comuna","Buin","14","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",60400,60400,"[1231, 55524]","[1231, 55524]"
"54","comuna","Buin","14","1990","Hombre","Profesionales, Científicos e Intelectuales",93064,75500,"[73234, 114989]","[57637, 84560]"
"55","comuna","Buin","14","1990","Hombre","Técnicos y Profesionales de Nivel Medio",288265,138600,"[105345, 489501]","[79200, 185996]"
"56","comuna","Buin","14","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",38813,36240,"[34871, 44487]","[33824, 36240]"
"57","comuna","Buin","14","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",62974,54360,"[52705, 78226]","[45149, 60400]"
"58","comuna","Buin","14","1990","Hombre","Trabajadores de Servicios y Vendedores",65117,48320,"[48402, 88522]","[42280, 57531]"
"59","comuna","Bulnes","15","1990","Hombre","Empleados de Oficina",24160,24160,"[493, 22210]","[493, 22210]"
"60","comuna","Bulnes","15","1990","Hombre","Fuerzas Armadas",72480,72480,"[1477, 66629]","[1477, 66629]"
"61","comuna","Bulnes","15","1990","Hombre","Profesionales, Científicos e Intelectuales",103047,33676,"[40780, 203867]","[18414, 49030]"
"62","comuna","Bulnes","15","1990","Hombre","Técnicos y Profesionales de Nivel Medio",60148,67443,"[36660, 79636]","[19800, 99000]"
"63","comuna","Bulnes","15","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",30998,30200,"[25995, 35218]","[27724, 34428]"
"64","comuna","Bulnes","15","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",27301,31408,"[18845, 32501]","[9664, 33824]"
"65","comuna","Bulnes","15","1990","Hombre","Trabajadores de Servicios y Vendedores",41072,33824,"[31408, 57410]","[31408, 65232]"
"66","comuna","Calama","19","1990","Hombre","Empleados de Oficina",43871,36240,"[38513, 52832]","[34255, 48130]"
"67","comuna","Calama","19","1990","Hombre","Fuerzas Armadas",218605,125632,"[139428, 305366]","[118263, 217440]"
"68","comuna","Calama","19","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",755160,591920,"[464979, 1047455]","[410720, 1076182]"
"69","comuna","Calama","19","1990","Hombre","Profesionales, Científicos e Intelectuales",80408,46086,"[62734, 101419]","[33001, 59400]"
"70","comuna","Calama","19","1990","Hombre","Técnicos y Profesionales de Nivel Medio",154533,90600,"[103388, 207436]","[49500, 144960]"
"71","comuna","Calama","19","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",67629,47920,"[51472, 86504]","[34579, 74973]"
"72","comuna","Calama","19","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",93432,69300,"[80554, 105469]","[59638, 77821]"
"73","comuna","Calama","19","1990","Hombre","Trabajadores de Servicios y Vendedores",111275,72480,"[83061, 140043]","[59900, 84560]"
"74","comuna","Calera","22","1990","Hombre","Empleados de Oficina",28690,28690,"[25972, 31408]","[25972, 31408]"
"75","comuna","Calera","22","1990","Hombre","Fuerzas Armadas",97137,46750,"[33261, 211400]","[33261, 211400]"
"76","comuna","Calera","22","1990","Hombre","Profesionales, Científicos e Intelectuales",54587,54360,"[30200, 79200]","[30200, 79200]"
"77","comuna","Calera","22","1990","Hombre","Técnicos y Profesionales de Nivel Medio",123829,55440,"[47512, 212449]","[29700, 116449]"
"78","comuna","Calera","22","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",63052,29700,"[28992, 130464]","[28992, 130464]"
"79","comuna","Calera","22","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",48007,31166,"[31209, 73058]","[18120, 85140]"
"80","comuna","Calera","22","1990","Hombre","Trabajadores de Servicios y Vendedores",42899,39405,"[29218, 54499]","[26067, 47702]"
"81","comuna","Calera","22","1990","Hombre","Trabajadores No Calificados",36240,36240,"[739, 33315]","[739, 33315]"
"82","comuna","Calera de Tango","23","1990","Hombre","Empleados de Oficina",34328,31728,"[30684, 39367]","[31408, 36240]"
"83","comuna","Calera de Tango","23","1990","Hombre","Fuerzas Armadas",69762,75500,"[46047, 93620]","[31408, 96640]"
"84","comuna","Calera de Tango","23","1990","Hombre","Profesionales, Científicos e Intelectuales",92210,66440,"[52821, 141705]","[39600, 79200]"
"85","comuna","Calera de Tango","23","1990","Hombre","Técnicos y Profesionales de Nivel Medio",108992,57255,"[50896, 186298]","[24160, 105722]"
"86","comuna","Calera de Tango","23","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",41432,36361,"[38873, 44665]","[36240, 39864]"
"87","comuna","Calera de Tango","23","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",59495,59400,"[49205, 67425]","[48320, 66440]"
"88","comuna","Calera de Tango","23","1990","Hombre","Trabajadores de Servicios y Vendedores",39192,40336,"[36998, 41793]","[36240, 42280]"
"89","comuna","Calera de Tango","23","1990","Hombre","Trabajadores No Calificados",55810,36240,"[34295, 93626]","[31408, 128048]"
"90","comuna","Cartagena","30","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",48320,48320,"[984, 44420]","[984, 44420]"
"91","comuna","Cartagena","30","1990","Hombre","Profesionales, Científicos e Intelectuales",202045,68856,"[42280, 495000]","[42280, 495000]"
"92","comuna","Cartagena","30","1990","Hombre","Técnicos y Profesionales de Nivel Medio",64548,59400,"[30096, 111603]","[9900, 158400]"
"93","comuna","Cartagena","30","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",30690,30690,"[9900, 51480]","[9900, 51480]"
"94","comuna","Cartagena","30","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",53660,19800,"[19800, 95040]","[19800, 84324]"
"95","comuna","Cartagena","30","1990","Hombre","Trabajadores de Servicios y Vendedores",56706,49500,"[25951, 97067]","[18120, 138600]"
"96","comuna","Casablanca","31","1990","Hombre","Empleados de Oficina",28388,28388,"[14496, 42280]","[14496, 42280]"
"97","comuna","Casablanca","31","1990","Hombre","Profesionales, Científicos e Intelectuales",68756,59900,"[54430, 91571]","[44216, 107512]"
"98","comuna","Casablanca","31","1990","Hombre","Técnicos y Profesionales de Nivel Medio",51480,51480,"[3960, 99000]","[3960, 99000]"
"99","comuna","Casablanca","31","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",37350,33824,"[31728, 42402]","[31408, 36240]"
"100","comuna","Casablanca","31","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",32650,32650,"[30200, 35100]","[30200, 35100]"
"101","comuna","Casablanca","31","1990","Hombre","Trabajadores de Servicios y Vendedores",44676,43980,"[38974, 51143]","[31408, 48320]"
"102","comuna","Castro","32","1990","Hombre","Empleados de Oficina",68464,48320,"[38605, 104579]","[31408, 60400]"
"103","comuna","Castro","32","1990","Hombre","Fuerzas Armadas",154429,64314,"[40664, 288836]","[30672, 320325]"
"104","comuna","Castro","32","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",84560,84560,"[72480, 96640]","[72480, 96640]"
"105","comuna","Castro","32","1990","Hombre","Profesionales, Científicos e Intelectuales",121200,63524,"[55864, 234594]","[48320, 251756]"
"106","comuna","Castro","32","1990","Hombre","Técnicos y Profesionales de Nivel Medio",235833,118800,"[124276, 353403]","[60554, 301158]"
"107","comuna","Castro","32","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",36428,30200,"[26330, 46931]","[19800, 44178]"
"108","comuna","Castro","32","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",83540,59400,"[57577, 116394]","[47112, 79200]"
"109","comuna","Castro","32","1990","Hombre","Trabajadores de Servicios y Vendedores",78497,54360,"[49496, 113735]","[36361, 119592]"
"110","comuna","Cauquenes","34","1990","Hombre","Empleados de Oficina",18788,21980,"[8594, 25972]","[3406, 27784]"
