"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"50","pais","País","pais","1994","Hombre","Trabajadores No Calificados",67590,57834,"[66471, 68659]","[56763, 57834]"
"51","pais","País","pais","1994","Mujer","Empleados de Oficina",114746,96390,"[111201, 118634]","[96236, 98775]"
"52","pais","País","pais","1994","Mujer","Fuerzas Armadas",132498,133875,"[106932, 157609]","[89428, 171360]"
"53","pais","País","pais","1994","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",299294,131496,"[274911, 334434]","[121040, 150654]"
"54","pais","País","pais","1994","Mujer","Operadores y Montadores de Instalaciones y Máquinas",90377,69080,"[82629, 97663]","[64260, 74970]"
"55","pais","País","pais","1994","Mujer","Profesionales, Científicos e Intelectuales",208481,160650,"[199858, 215704]","[160650, 160650]"
"56","pais","País","pais","1994","Mujer","Técnicos y Profesionales de Nivel Medio",146303,107100,"[139536, 154521]","[107100, 112312]"
"57","pais","País","pais","1994","Mujer","Trabajadores Agropecuarios y Pesqueros",70230,52955,"[63579, 78180]","[46722, 57888]"
"58","pais","País","pais","1994","Mujer","Trabajadores de Artes Mecánicas y Otros",80188,58905,"[70457, 90212]","[54846, 60520]"
"59","pais","País","pais","1994","Mujer","Trabajadores de Servicios y Vendedores",89641,64260,"[86454, 92752]","[64260, 64260]"
"60","pais","País","pais","1994","Mujer","Trabajadores No Calificados",56086,53550,"[54926, 57381]","[53550, 53550]"
"61","pais","País","pais","1996","Hombre","Empleados de Oficina",198596,150000,"[187056, 213501]","[150000, 158575]"
"62","pais","País","pais","1996","Hombre","Fuerzas Armadas",203633,180000,"[193897, 216549]","[180000, 199522]"
"63","pais","País","pais","1996","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",760936,408600,"[709821, 817724]","[408600, 470937]"
"64","pais","País","pais","1996","Hombre","Operadores y Montadores de Instalaciones y Máquinas",170220,125000,"[165119, 174426]","[120530, 130000]"
"65","pais","País","pais","1996","Hombre","Profesionales, Científicos e Intelectuales",559464,363500,"[531918, 594400]","[350000, 4e+05]"
"66","pais","País","pais","1996","Hombre","Técnicos y Profesionales de Nivel Medio",307053,204300,"[289361, 323752]","[2e+05, 220000]"
"67","pais","País","pais","1996","Hombre","Trabajadores Agropecuarios y Pesqueros",142527,90000,"[135717, 151841]","[88202, 94570]"
"68","pais","País","pais","1996","Hombre","Trabajadores de Artes Mecánicas y Otros",156288,120000,"[153129, 159147]","[120000, 120000]"
"69","pais","País","pais","1996","Hombre","Trabajadores de Servicios y Vendedores",169336,120000,"[162171, 178330]","[120000, 122580]"
"70","pais","País","pais","1996","Hombre","Trabajadores No Calificados",83969,70000,"[82779, 85210]","[68000, 70000]"
"71","pais","País","pais","1996","Mujer","Empleados de Oficina",136487,120000,"[132569, 140480]","[110000, 120000]"
"72","pais","País","pais","1996","Mujer","Fuerzas Armadas",191889,150000,"[113431, 278806]","[90000, 350000]"
"73","pais","País","pais","1996","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",468608,250000,"[410161, 554640]","[245160, 302625]"
