id,iso3,es_country_name,country_name,region_code,region,sub_region_code,sub_region,country_code,es_sub_region,es_region
124,LBN,Libano,Lebanon,142,Asia,145,Western Asia,311,ES Western Asia,Asia
125,QAT,Qatar,Qatar,142,Asia,145,Western Asia,312,ES Western Asia,Asia
126,BHR,Bahrein,Bahrain,142,Asia,145,Western Asia,313,ES Western Asia,Asia
127,LKA,Sri Lanka,Sri Lanka,142,Asia,34,Southern Asia,314,ES Southern Asia,Asia
128,KHM,Camboya,Cambodia,142,Asia,35,South-Eastern Asia,315,ES South-Eastern Asia,Asia
129,LAO,Laos,Lao People's Democratic Republic,142,Asia,35,South-Eastern Asia,316,ES South-Eastern Asia,Asia
130,IND,India,India,142,Asia,34,Southern Asia,317,ES Southern Asia,Asia
131,BTN,Bhután,Bhutan,142,Asia,34,Southern Asia,318,ES Southern Asia,Asia
133,NPL,Nepal,Nepal,142,Asia,34,Southern Asia,320,ES Southern Asia,Asia
134,BGD,Bangladesh,Bangladesh,142,Asia,34,Southern Asia,321,ES Southern Asia,Asia
135,YEM,Yemen de Norte,Yemen,142,Asia,145,Western Asia,322,ES Western Asia,Asia
87,ARG,Argentina,Argentina,19,Americas,5,South America,224,ES South America,América
88,USA,Estados Unidos de América,United States of America,19,Americas,21,Northern America,225,ES Northern America,América
89,CAN,Canadá,Canada,19,Americas,21,Northern America,226,ES Northern America,América
95,GRD,Granada,Grenada,19,Americas,29,Caribbean,232,ES Caribbean,América
96,LCA,Santa Lucia y Islas  Occidentales,Saint Lucia,19,Americas,29,Caribbean,233,ES Caribbean,América
97,VCT,San Vicente y las Granadinas,Saint Vincent and the Grenadines,19,Americas,29,Caribbean,234,ES Caribbean,América
98,SUR,Suriname,Suriname,19,Americas,5,South America,235,ES South America,América
99,BLZ,Belice,Belize,19,Americas,13,Central America,236,ES Central America,América
100,ATG,Antigua y Barbuda,Antigua and Barbuda,19,Americas,29,Caribbean,240,ES Caribbean,América
101,KNA,Saint Kitts & Nevis,Saint Kitts and Nevis,19,Americas,29,Caribbean,241,ES Caribbean,América
102,AIA,Anguila,Anguilla,19,Americas,29,Caribbean,242,ES Caribbean,América
103,ABW,Aruba,Aruba,19,Americas,29,Caribbean,243,ES Caribbean,América
104,BMU,Bermudas,Bermuda,19,Americas,21,Northern America,244,ES Northern America,América
106,CYM,Islas Caimán,Cayman Islands,19,Americas,29,Caribbean,246,ES Caribbean,América
108,TCA,Turcas y Caicos,Turks and Caicos Islands,19,Americas,29,Caribbean,248,ES Caribbean,América
109,VIR,Islas Vírgenes (Estados Unidos de América),Virgin Islands (U.S.),19,Americas,29,Caribbean,249,ES Caribbean,América
110,MTQ,Martinica,Martinique,19,Americas,29,Caribbean,250,ES Caribbean,América
111,PRI,Puerto Rico,Puerto Rico,19,Americas,29,Caribbean,251,ES Caribbean,América
112,MSR,Monserrat,Montserrat,19,Americas,29,Caribbean,252,ES Caribbean,América
113,GRL,Groenlandia,Greenland,19,Americas,21,Northern America,253,ES Northern America,América
