comuna_datachile_id,candidato_id,votos_candidato,electo,partido_id,year,election_id
1,8,34,0,0,2017,2
1,9,5,0,0,2017,2
1,567,2519,0,8,2017,2
1,2649,4138,1,7,2017,2
2,8,13,0,0,2017,2
2,9,5,0,0,2017,2
2,567,1425,0,8,2017,2
2,2649,1028,1,7,2017,2
3,8,47,0,0,2017,2
3,9,17,0,0,2017,2
3,567,701,0,8,2017,2
3,2649,1243,1,7,2017,2
4,8,9,0,0,2017,2
4,9,7,0,0,2017,2
4,567,847,0,8,2017,2
4,2649,1066,1,7,2017,2
5,8,113,0,0,2017,2
5,9,34,0,0,2017,2
5,567,7467,0,8,2017,2
5,2649,9969,1,7,2017,2
6,8,122,0,0,2017,2
6,9,40,0,0,2017,2
6,567,7774,0,8,2017,2
6,2649,8198,1,7,2017,2
7,8,42,0,0,2017,2
7,9,21,0,0,2017,2
7,567,3130,0,8,2017,2
7,2649,2295,1,7,2017,2
8,8,135,0,0,2017,2
8,9,233,0,0,2017,2
8,567,7184,0,8,2017,2
8,2649,15791,1,7,2017,2
9,8,1004,0,0,2017,2
9,9,212,0,0,2017,2
9,567,49811,0,8,2017,2
9,2649,58751,1,7,2017,2
10,8,8,0,0,2017,2
10,9,9,0,0,2017,2
10,567,827,0,8,2017,2
10,2649,1196,1,7,2017,2
11,8,107,0,0,2017,2
11,9,56,0,0,2017,2
11,567,6736,0,8,2017,2
11,2649,8341,1,7,2017,2
12,8,545,0,0,2017,2
12,9,139,0,0,2017,2
12,567,33703,0,8,2017,2
12,2649,34075,1,7,2017,2
13,8,59,0,0,2017,2
13,9,21,0,0,2017,2
13,567,4854,0,8,2017,2
13,2649,3842,1,7,2017,2
14,8,270,0,0,2017,2
14,9,81,0,0,2017,2
14,567,13361,0,8,2017,2
14,2649,19594,1,7,2017,2
15,8,60,0,0,2017,2
15,9,28,0,0,2017,2
15,567,4316,0,8,2017,2
15,2649,6113,1,7,2017,2
16,8,57,0,0,2017,2
16,9,27,0,0,2017,2
16,567,5056,0,8,2017,2
16,2649,3415,1,7,2017,2
17,8,5,0,0,2017,2
17,9,3,0,0,2017,2
17,567,207,0,8,2017,2
17,2649,378,1,7,2017,2
18,8,105,0,0,2017,2
18,9,52,0,0,2017,2
18,567,4665,0,8,2017,2
18,2649,7575,1,7,2017,2
19,8,461,0,0,2017,2
19,9,94,0,0,2017,2
19,567,21717,0,8,2017,2
19,2649,29472,1,7,2017,2
20,8,107,0,0,2017,2
20,9,66,0,0,2017,2
20,567,5230,0,8,2017,2
20,2649,7131,1,7,2017,2
21,8,39,0,0,2017,2
21,9,15,0,0,2017,2
21,567,3297,0,8,2017,2
21,2649,3025,1,7,2017,2
22,8,173,0,0,2017,2
22,9,57,0,0,2017,2
22,567,10470,0,8,2017,2
22,2649,10509,1,7,2017,2
23,8,101,0,0,2017,2
23,9,32,0,0,2017,2
23,567,4521,0,8,2017,2
23,2649,7692,1,7,2017,2
24,8,35,0,0,2017,2
24,9,4,0,0,2017,2
24,567,2744,0,8,2017,2
24,2649,2879,1,7,2017,2
25,8,8,0,0,2017,2
25,9,1,0,0,2017,2
25,567,468,0,8,2017,2
25,2649,467,1,7,2017,2
26,8,3,0,0,2017,2
26,9,4,0,0,2017,2
26,567,179,0,8,2017,2
26,2649,617,1,7,2017,2
27,8,25,0,0,2017,2
27,9,21,0,0,2017,2
27,567,2938,0,8,2017,2
27,2649,1528,1,7,2017,2
28,8,95,0,0,2017,2
28,9,43,0,0,2017,2
28,567,5529,0,8,2017,2
28,2649,8101,1,7,2017,2
29,8,76,0,0,2017,2
29,9,27,0,0,2017,2
29,567,4499,0,8,2017,2
29,2649,6595,1,7,2017,2
30,8,63,0,0,2017,2
30,9,9,0,0,2017,2
30,567,4265,0,8,2017,2
30,2649,4674,1,7,2017,2
31,8,94,0,0,2017,2
31,9,22,0,0,2017,2
31,567,4786,0,8,2017,2
31,2649,5990,1,7,2017,2
