comuna_datachile_id,candidato_id,votos_candidato,partido_id,electo,year,election_id
1,1,2316,10,0,2013,1
1,2,2207,6,0,2013,1
1,3,509,4,0,2013,1
1,4,498,8,0,2013,1
1,5,106,4,0,2013,1
1,6,155,13,0,2013,1
1,7,54,12,0,2013,1
1,8,42,0,0,2013,1
1,9,25,0,0,2013,1
1,10,41,23,0,2013,1
1,11,9,8,0,2013,1
2,1,1367,10,0,2013,1
2,2,445,6,0,2013,1
2,3,253,4,0,2013,1
2,4,148,8,0,2013,1
2,5,42,4,0,2013,1
2,6,15,13,0,2013,1
2,7,34,12,0,2013,1
2,8,26,0,0,2013,1
2,9,30,0,0,2013,1
2,10,15,23,0,2013,1
2,11,6,8,0,2013,1
3,1,977,10,0,2013,1
3,2,514,6,0,2013,1
3,3,132,4,0,2013,1
3,4,143,8,0,2013,1
3,5,39,4,0,2013,1
3,6,19,13,0,2013,1
3,7,24,12,0,2013,1
3,8,117,0,0,2013,1
3,9,69,0,0,2013,1
3,10,30,23,0,2013,1
3,11,14,8,0,2013,1
4,1,1286,10,0,2013,1
4,2,405,6,0,2013,1
4,3,209,4,0,2013,1
4,4,165,8,0,2013,1
4,5,57,4,0,2013,1
4,6,25,13,0,2013,1
4,7,29,12,0,2013,1
4,8,38,0,0,2013,1
4,9,42,0,0,2013,1
4,10,24,23,0,2013,1
4,11,14,8,0,2013,1
5,1,6353,10,0,2013,1
5,2,2446,6,0,2013,1
5,3,2031,4,0,2013,1
5,4,3106,8,0,2013,1
5,5,388,4,0,2013,1
5,6,118,13,0,2013,1
5,7,276,12,0,2013,1
5,8,124,0,0,2013,1
5,9,64,0,0,2013,1
5,10,55,23,0,2013,1
5,11,18,8,0,2013,1
6,1,7902,10,0,2013,1
6,2,4345,6,0,2013,1
6,3,1299,4,0,2013,1
6,4,1293,8,0,2013,1
6,5,427,4,0,2013,1
6,6,249,13,0,2013,1
6,7,182,12,0,2013,1
6,8,201,0,0,2013,1
6,9,215,0,0,2013,1
6,10,79,23,0,2013,1
6,11,26,8,0,2013,1
7,1,3594,10,0,2013,1
7,2,1017,6,0,2013,1
7,3,369,4,0,2013,1
7,4,438,8,0,2013,1
7,5,62,4,0,2013,1
7,6,45,13,0,2013,1
7,7,41,12,0,2013,1
7,8,77,0,0,2013,1
7,9,57,0,0,2013,1
7,10,22,23,0,2013,1
7,11,6,8,0,2013,1
8,1,11087,10,0,2013,1
8,2,6407,6,0,2013,1
8,3,1391,4,0,2013,1
8,4,2476,8,0,2013,1
8,5,272,4,0,2013,1
8,6,193,13,0,2013,1
8,7,244,12,0,2013,1
8,8,283,0,0,2013,1
8,9,174,0,0,2013,1
8,10,102,23,0,2013,1
8,11,60,8,0,2013,1
9,1,37813,10,0,2013,1
9,2,20344,6,0,2013,1
9,3,14689,4,0,2013,1
9,4,22172,8,0,2013,1
9,5,3053,4,0,2013,1
9,6,1725,13,0,2013,1
9,7,1007,12,0,2013,1
9,8,842,0,0,2013,1
9,9,339,0,0,2013,1
9,10,488,23,0,2013,1
9,11,124,8,0,2013,1
10,1,1398,10,0,2013,1
10,2,362,6,0,2013,1
10,3,124,4,0,2013,1
10,4,177,8,0,2013,1
10,5,25,4,0,2013,1
10,6,19,13,0,2013,1
10,7,20,12,0,2013,1
10,8,30,0,0,2013,1
10,9,29,0,0,2013,1
10,10,17,23,0,2013,1
10,11,5,8,0,2013,1
11,1,8493,10,0,2013,1
11,2,2867,6,0,2013,1
11,3,960,4,0,2013,1
11,4,2073,8,0,2013,1
11,5,284,4,0,2013,1
11,6,110,13,0,2013,1
11,7,163,12,0,2013,1
11,8,260,0,0,2013,1
11,9,175,0,0,2013,1
11,10,113,23,0,2013,1
11,11,42,8,0,2013,1
12,1,28070,10,0,2013,1
12,2,14587,6,0,2013,1
12,3,6891,4,0,2013,1
12,4,13855,8,0,2013,1
12,5,1455,4,0,2013,1
12,6,1001,13,0,2013,1
12,7,811,12,0,2013,1
12,8,652,0,0,2013,1
12,9,336,0,0,2013,1
12,10,314,23,0,2013,1
12,11,83,8,0,2013,1
13,1,4817,10,0,2013,1
13,2,1666,6,0,2013,1
13,3,488,4,0,2013,1
13,4,1474,8,0,2013,1
13,5,165,4,0,2013,1
13,6,61,13,0,2013,1
13,7,95,12,0,2013,1
13,8,69,0,0,2013,1
13,9,75,0,0,2013,1
13,10,36,23,0,2013,1
13,11,13,8,0,2013,1
14,1,12958,10,0,2013,1
14,2,8585,6,0,2013,1
14,3,3971,4,0,2013,1
14,4,3222,8,0,2013,1
