year,election_id,comuna_datachile_id,total_electores,total_votacion
2017,1,223,7930,4180
2017,1,178,14681,7045
2017,1,40,13377,5568
2017,1,304,30272,13516
2017,1,146,6554,2952
2017,1,236,3833,1784
2017,1,199,10094,4897
2017,1,213,9766,4473
2017,1,219,13345,7019
2017,1,180,5779,2842
2017,1,140,5912,2817
2017,1,119,3458,1659
2017,1,164,6570,3029
2017,1,203,6587,2932
2017,1,79,112702,57132
2017,1,315,23742,10467
2017,1,275,13178,6752
2017,1,173,37949,18608
2017,1,277,15366,7795
2017,1,105,9318,4732
2017,1,137,6787,3298
2017,1,332,4965,2409
2017,1,261,9446,4700
2017,1,311,174921,88244
2017,1,206,8097,3836
2017,1,270,11245,5452
2017,1,282,35529,16777
2017,1,168,20151,9822
2017,1,88,4332,2230
2017,1,209,10231,5319
2017,1,66,38901,17949
2017,1,78,10152,4582
2017,1,299,7847,4059
2017,1,139,80185,35766
2017,1,341,13995,6736
2017,1,57,17015,8625
2017,1,148,25681,10965
2017,1,204,37035,17266
2017,1,267,16427,7931
2017,1,336,13069,6302
2017,1,289,37641,17076
2017,1,34,37336,17217
2017,1,207,6851,3676
2017,1,38,9193,4459
2017,1,43,148780,71443
2017,1,281,46396,20825
2017,1,185,10235,4689
2017,1,284,4633,2103
2017,1,55,20925,9836
2017,1,220,10716,5371
2017,1,288,13950,6458
2017,1,84,12165,5664
2017,1,343,15687,6690
2017,1,208,8064,3836
2017,1,15,20161,9681
2017,1,251,14834,6678
2017,1,260,5504,2684
2017,1,224,5818,2844
2017,1,53,14930,7747
2017,1,327,6098,3078
2017,1,49,5647,2755
2017,1,258,10738,5229
2017,1,182,6049,2840
2017,1,294,10618,5615
2017,1,44,19940,10531
2017,1,64,199158,97035
2017,1,312,133151,60945
2017,1,210,41331,21262
2017,1,323,49053,23900
2017,1,91,10199,4922
2017,1,107,19339,9086
2017,1,305,12313,5805
2017,1,157,48093,23715
2017,1,70,86427,41696
2017,1,298,80495,41654
