year,election_id,comuna_datachile_id,total_votacion,total_electores
2016,5,293,26654,97322
2016,5,294,6815,10450
2016,5,295,5167,9698
2016,5,296,4541,7682
2016,5,297,3021,5680
2016,5,298,26378,78376
2016,5,299,4701,7698
2016,5,300,23550,82969
2016,5,301,3033,4557
2016,5,302,17464,38216
2016,5,303,6614,12753
2016,5,304,13112,29771
2016,5,305,6598,12191
2016,5,306,5468,11362
2016,5,307,67509,302535
2016,5,308,5560,10370
2016,5,309,1506,4069
2016,5,310,20867,54260
2016,5,311,56566,172322
2016,5,312,35393,132514
2016,5,313,4840,9997
2016,5,314,60001,225121
2016,5,315,10650,23257
2016,5,316,7841,13848
2016,5,317,7180,12718
2016,5,318,6169,13602
2016,5,319,592,1124
2016,5,320,5259,8513
2016,5,321,8558,21742
2016,5,322,5418,10315
2016,5,323,22104,48557
2016,5,324,1275,1872
2016,5,325,383,564
2016,5,326,8915,18393
2016,5,327,4677,6182
2016,5,328,7456,12281
2016,5,329,40949,130664
2016,5,330,17007,44204
2016,5,331,88218,284198
2016,5,332,3811,5041
2016,5,333,12238,31830
2016,5,334,11341,21667
2016,5,335,10071,22614
2016,5,336,7299,12925
2016,5,337,29202,91418
2016,5,338,15857,49042
2016,5,339,78257,294906
2016,5,340,38006,84393
2016,5,341,7088,13768
2016,5,342,10707,19484
2016,5,343,7345,15353
2016,5,344,4240,7244
2016,5,345,9,314
2016,5,346,17498,47225
