comuna_datachile_id,candidato_id,partido_id,votos_candidato,electo,year,election_id
37,9,0,37,0,2016,5
37,729,8,930,1,2016,5
37,730,8,694,0,2016,5
37,731,11,521,0,2016,5
38,8,0,70,0,2016,5
38,9,0,52,0,2016,5
38,732,7,3331,1,2016,5
38,733,8,2523,0,2016,5
39,8,0,37,0,2016,5
39,9,0,41,0,2016,5
39,734,8,2672,1,2016,5
39,735,2,2033,0,2016,5
39,736,8,406,0,2016,5
39,737,8,382,0,2016,5
40,8,0,82,0,2016,5
40,9,0,95,0,2016,5
40,738,8,3618,1,2016,5
40,739,8,2778,0,2016,5
40,740,8,291,0,2016,5
41,8,0,446,0,2016,5
41,9,0,209,0,2016,5
41,323,7,1834,0,2016,5
41,741,10,12452,1,2016,5
41,742,8,8846,0,2016,5
42,8,0,25,0,2016,5
42,9,0,33,0,2016,5
42,743,8,1071,1,2016,5
42,744,8,774,0,2016,5
42,745,8,427,0,2016,5
42,746,6,115,0,2016,5
42,747,8,20,0,2016,5
43,8,0,1217,0,2016,5
43,9,0,568,0,2016,5
43,748,8,27114,1,2016,5
43,749,2,17360,0,2016,5
43,750,8,2095,0,2016,5
43,751,8,1155,0,2016,5
44,8,0,243,0,2016,5
44,9,0,165,0,2016,5
44,752,10,2907,1,2016,5
44,753,5,2141,0,2016,5
44,754,8,1892,0,2016,5
44,755,7,1070,0,2016,5
44,756,12,305,0,2016,5
44,757,8,247,0,2016,5
45,8,0,159,0,2016,5
45,9,0,146,0,2016,5
45,758,8,5763,1,2016,5
45,759,20,5655,0,2016,5
45,760,10,2070,0,2016,5
46,8,0,133,0,2016,5
46,9,0,65,0,2016,5
46,761,8,3329,1,2016,5
46,762,6,2446,0,2016,5
47,8,0,53,0,2016,5
47,9,0,70,0,2016,5
47,763,8,4091,1,2016,5
47,764,9,2234,0,2016,5
47,765,8,278,0,2016,5
48,8,0,11,0,2016,5
48,9,0,18,0,2016,5
48,766,7,1181,1,2016,5
48,767,8,982,0,2016,5
49,8,0,29,0,2016,5
49,9,0,16,0,2016,5
49,768,2,2342,1,2016,5
49,769,7,1924,0,2016,5
50,8,0,19,0,2016,5
50,9,0,37,0,2016,5
50,770,11,947,1,2016,5
50,771,7,885,0,2016,5
50,772,8,320,0,2016,5
51,8,0,25,0,2016,5
51,9,0,25,0,2016,5
51,773,6,1002,1,2016,5
51,774,9,390,0,2016,5
52,8,0,49,0,2016,5
52,9,0,49,0,2016,5
52,775,9,3077,1,2016,5
52,776,8,2815,0,2016,5
52,777,7,221,0,2016,5
53,8,0,70,0,2016,5
53,9,0,47,0,2016,5
53,778,8,4610,1,2016,5
53,779,8,4308,0,2016,5
54,8,0,414,0,2016,5
54,9,0,238,0,2016,5
54,780,10,8337,1,2016,5
54,781,7,5094,0,2016,5
54,782,17,868,0,2016,5
55,8,0,56,0,2016,5
55,9,0,71,0,2016,5
55,783,8,6798,1,2016,5
55,784,11,5141,0,2016,5
56,8,0,137,0,2016,5
56,9,0,112,0,2016,5
56,785,7,1949,1,2016,5
