comuna_datachile_id,candidato_id,partido_id,electo,votos_candidato,year,election_id
1,8,0,0,232,2017,3
1,9,0,0,272,2017,3
1,20,6,0,467,2017,3
1,27,11,0,67,2017,3
1,28,8,0,108,2017,3
1,31,5,0,17,2017,3
1,134,4,0,114,2017,3
1,516,10,1,533,2017,3
1,522,16,0,481,2017,3
1,523,9,0,141,2017,3
1,529,7,1,2199,2017,3
1,530,11,1,645,2017,3
1,1542,7,0,61,2017,3
1,1753,28,0,36,2017,3
1,2642,5,0,55,2017,3
1,2643,5,0,35,2017,3
1,2644,25,1,183,2017,3
1,2645,37,0,64,2017,3
1,2646,12,0,144,2017,3
1,2647,16,0,5,2017,3
1,2648,16,0,6,2017,3
1,2649,16,0,4,2017,3
1,2650,16,0,14,2017,3
1,2651,16,0,5,2017,3
1,2652,28,0,14,2017,3
1,2653,28,0,8,2017,3
1,2654,10,0,10,2017,3
1,2655,2,0,73,2017,3
1,2656,2,0,15,2017,3
1,2657,9,0,125,2017,3
1,2658,9,0,21,2017,3
1,2659,7,1,93,2017,3
1,2660,6,0,65,2017,3
1,2661,6,0,17,2017,3
4,8,0,0,62,2017,3
4,9,0,0,133,2017,3
4,205,6,0,149,2017,3
4,367,1,0,155,2017,3
4,446,9,1,797,2017,3
4,447,2,0,156,2017,3
4,2636,37,0,46,2017,3
4,2637,34,0,27,2017,3
4,2638,34,0,31,2017,3
4,2639,11,0,40,2017,3
4,2640,14,0,21,2017,3
4,2641,7,1,257,2017,3
5,8,0,0,405,2017,3
5,9,0,0,368,2017,3
5,988,6,1,2729,2017,3
5,2604,8,0,6007,2017,3
5,2605,37,0,782,2017,3
5,2606,32,0,558,2017,3
5,2607,32,0,102,2017,3
5,2608,32,0,136,2017,3
5,2609,11,1,5894,2017,3
5,2610,10,0,308,2017,3
5,2611,10,0,288,2017,3
5,2612,7,0,820,2017,3
5,2613,7,0,298,2017,3
8,8,0,0,987,2017,3
8,9,0,0,1248,2017,3
8,129,31,1,5310,2017,3
8,167,6,0,1246,2017,3
8,360,4,0,356,2017,3
8,366,4,0,110,2017,3
8,375,7,0,1224,2017,3
8,498,11,1,2792,2017,3
