comuna_datachile_id,candidato_id,votos_candidato,partido_id,electo,year,election_id
18,2550,4133,7,0,2017,1
18,2551,1229,8,0,2017,1
18,2552,52,28,0,2017,1
19,3,3326,5,0,2017,1
19,8,479,0,0,2017,1
19,9,167,0,0,2017,1
19,147,5212,8,0,2017,1
19,535,140,30,0,2017,1
19,561,1943,9,0,2017,1
19,567,11646,8,0,2017,1
19,2550,17373,7,0,2017,1
19,2551,10107,8,0,2017,1
19,2552,227,28,0,2017,1
20,3,634,5,0,2017,1
20,8,171,0,0,2017,1
20,9,226,0,0,2017,1
20,147,953,8,0,2017,1
20,535,57,30,0,2017,1
20,561,780,9,0,2017,1
20,567,2296,8,0,2017,1
20,2550,4603,7,0,2017,1
20,2551,2106,8,0,2017,1
20,2552,66,28,0,2017,1
21,3,401,5,0,2017,1
21,8,48,0,0,2017,1
21,9,30,0,0,2017,1
21,147,233,8,0,2017,1
21,535,14,30,0,2017,1
21,561,202,9,0,2017,1
21,567,1881,8,0,2017,1
21,2550,2157,7,0,2017,1
21,2551,1157,8,0,2017,1
21,2552,30,28,0,2017,1
22,3,1554,5,0,2017,1
22,8,214,0,0,2017,1
22,9,111,0,0,2017,1
22,147,1111,8,0,2017,1
22,535,39,30,0,2017,1
22,561,1083,9,0,2017,1
22,567,4710,8,0,2017,1
22,2550,6909,7,0,2017,1
22,2551,4696,8,0,2017,1
22,2552,98,28,0,2017,1
23,3,678,5,0,2017,1
23,8,126,0,0,2017,1
23,9,77,0,0,2017,1
23,147,907,8,0,2017,1
23,535,27,30,0,2017,1
23,561,622,9,0,2017,1
23,567,2042,8,0,2017,1
23,2550,5247,7,0,2017,1
23,2551,2031,8,0,2017,1
23,2552,55,28,0,2017,1
24,3,308,5,0,2017,1
24,8,51,0,0,2017,1
24,9,26,0,0,2017,1
24,147,267,8,0,2017,1
24,535,17,30,0,2017,1
24,561,275,9,0,2017,1
24,567,1787,8,0,2017,1
24,2550,1917,7,0,2017,1
24,2551,806,8,0,2017,1
24,2552,26,28,0,2017,1
25,3,73,5,0,2017,1
25,8,14,0,0,2017,1
25,9,7,0,0,2017,1
25,147,57,8,0,2017,1
25,535,6,30,0,2017,1
25,561,61,9,0,2017,1
25,567,338,8,0,2017,1
25,2550,350,7,0,2017,1
25,2551,225,8,0,2017,1
25,2552,2,28,0,2017,1
26,3,44,5,0,2017,1
26,8,15,0,0,2017,1
26,9,1,0,0,2017,1
26,147,42,8,0,2017,1
26,535,2,30,0,2017,1
26,561,10,9,0,2017,1
26,567,124,8,0,2017,1
26,2550,445,7,0,2017,1
26,2551,78,8,0,2017,1
26,2552,3,28,0,2017,1
27,3,91,5,0,2017,1
27,8,38,0,0,2017,1
27,9,57,0,0,2017,1
27,147,93,8,0,2017,1
27,535,19,30,0,2017,1
27,561,247,9,0,2017,1
27,567,2115,8,0,2017,1
27,2550,1112,7,0,2017,1
27,2551,298,8,0,2017,1
27,2552,28,28,0,2017,1
28,3,633,5,0,2017,1
28,8,163,0,0,2017,1
28,9,120,0,0,2017,1
28,147,1282,8,0,2017,1
28,535,67,30,0,2017,1
28,561,605,9,0,2017,1
28,567,2975,8,0,2017,1
28,2550,4706,7,0,2017,1
28,2551,1440,8,0,2017,1
28,2552,57,28,0,2017,1
29,3,446,5,0,2017,1
29,8,130,0,0,2017,1
29,9,110,0,0,2017,1
29,147,986,8,0,2017,1
29,535,43,30,0,2017,1
29,561,629,9,0,2017,1
29,567,2681,8,0,2017,1
29,2550,4310,7,0,2017,1
29,2551,869,8,0,2017,1
29,2552,58,28,0,2017,1
30,3,584,5,0,2017,1
30,8,82,0,0,2017,1
30,9,29,0,0,2017,1
30,147,378,8,0,2017,1
30,535,17,30,0,2017,1
30,561,324,9,0,2017,1
30,567,2191,8,0,2017,1
30,2550,3282,7,0,2017,1
30,2551,1488,8,0,2017,1
30,2552,26,28,0,2017,1
31,3,528,5,0,2017,1
31,8,99,0,0,2017,1
31,9,67,0,0,2017,1
31,147,563,8,0,2017,1
31,535,35,30,0,2017,1
31,561,777,9,0,2017,1
31,567,2026,8,0,2017,1
31,2550,3819,7,0,2017,1
31,2551,2286,8,0,2017,1
31,2552,39,28,0,2017,1
32,3,813,5,0,2017,1
32,8,136,0,0,2017,1
32,9,134,0,0,2017,1
32,147,1194,8,0,2017,1
32,535,63,30,0,2017,1
32,561,1039,9,0,2017,1
32,567,4197,8,0,2017,1
32,2550,5116,7,0,2017,1
32,2551,3250,8,0,2017,1
32,2552,120,28,0,2017,1
33,3,351,5,0,2017,1
33,8,52,0,0,2017,1
33,9,60,0,0,2017,1
33,147,225,8,0,2017,1
33,535,18,30,0,2017,1
33,561,275,9,0,2017,1
33,567,1626,8,0,2017,1
33,2550,1874,7,0,2017,1
33,2551,898,8,0,2017,1
33,2552,26,28,0,2017,1
34,3,762,5,0,2017,1
34,8,229,0,0,2017,1
34,9,183,0,0,2017,1
34,147,1262,8,0,2017,1
34,535,62,30,0,2017,1
34,561,1030,9,0,2017,1
34,567,3060,8,0,2017,1
34,2550,8915,7,0,2017,1
34,2551,1630,8,0,2017,1
34,2552,84,28,0,2017,1
35,3,2337,5,0,2017,1
35,8,249,0,0,2017,1
35,9,102,0,0,2017,1
35,147,2145,8,0,2017,1
35,535,78,30,0,2017,1
35,561,1409,9,0,2017,1
35,567,8148,8,0,2017,1
35,2550,10348,7,0,2017,1
35,2551,6984,8,0,2017,1
35,2552,242,28,0,2017,1
36,3,4540,5,0,2017,1
36,8,572,0,0,2017,1
36,9,285,0,0,2017,1
36,147,3688,8,0,2017,1
36,535,164,30,0,2017,1
36,561,1884,9,0,2017,1
36,567,14401,8,0,2017,1
36,2550,13862,7,0,2017,1
36,2551,10652,8,0,2017,1
36,2552,438,28,0,2017,1
37,3,46,5,0,2017,1
37,8,8,0,0,2017,1
37,9,31,0,0,2017,1
37,147,89,8,0,2017,1
37,535,13,30,0,2017,1
37,561,117,9,0,2017,1
37,567,358,8,0,2017,1
37,2550,603,7,0,2017,1
37,2551,166,8,0,2017,1
37,2552,6,28,0,2017,1
38,3,162,5,0,2017,1
38,8,73,0,0,2017,1
38,9,77,0,0,2017,1
38,147,428,8,0,2017,1
38,535,24,30,0,2017,1
38,561,224,9,0,2017,1
38,567,989,8,0,2017,1
38,2550,2114,7,0,2017,1
38,2551,354,8,0,2017,1
38,2552,14,28,0,2017,1
39,3,270,5,0,2017,1
39,8,48,0,0,2017,1
39,9,39,0,0,2017,1
39,147,117,8,0,2017,1
39,535,14,30,0,2017,1
39,561,205,9,0,2017,1
39,567,1540,8,0,2017,1
39,2550,1898,7,0,2017,1
39,2551,899,8,0,2017,1
39,2552,22,28,0,2017,1
40,3,252,5,0,2017,1
40,8,61,0,0,2017,1
40,9,43,0,0,2017,1
40,147,248,8,0,2017,1
40,535,16,30,0,2017,1
40,561,351,9,0,2017,1
40,567,1251,8,0,2017,1
40,2550,2746,7,0,2017,1
40,2551,586,8,0,2017,1
40,2552,14,28,0,2017,1
41,3,2003,5,0,2017,1
41,8,329,0,0,2017,1
