comuna_datachile_id,candidato_id,votos_candidato,electo,partido_id,year,election_id
45,9,36,0,0,2013,2
46,1,2770,1,10,2013,2
46,2,1791,0,6,2013,2
46,8,55,0,0,2013,2
46,9,22,0,0,2013,2
47,1,3645,1,10,2013,2
47,2,1261,0,6,2013,2
47,8,44,0,0,2013,2
47,9,28,0,0,2013,2
48,1,978,1,10,2013,2
48,2,586,0,6,2013,2
48,8,15,0,0,2013,2
48,9,7,0,0,2013,2
49,1,1749,1,10,2013,2
49,2,1042,0,6,2013,2
49,8,18,0,0,2013,2
49,9,10,0,0,2013,2
50,1,730,1,10,2013,2
50,2,652,0,6,2013,2
50,8,16,0,0,2013,2
50,9,9,0,0,2013,2
51,1,593,1,10,2013,2
51,2,470,0,6,2013,2
51,8,24,0,0,2013,2
51,9,1,0,0,2013,2
52,1,3360,1,10,2013,2
52,2,1382,0,6,2013,2
52,8,54,0,0,2013,2
52,9,20,0,0,2013,2
53,1,5431,1,10,2013,2
53,2,2345,0,6,2013,2
53,8,85,0,0,2013,2
53,9,49,0,0,2013,2
54,1,11498,1,10,2013,2
54,2,5896,0,6,2013,2
54,8,232,0,0,2013,2
54,9,79,0,0,2013,2
55,1,6450,1,10,2013,2
55,2,3366,0,6,2013,2
55,8,75,0,0,2013,2
55,9,42,0,0,2013,2
56,1,1949,1,10,2013,2
56,2,1083,0,6,2013,2
56,8,31,0,0,2013,2
56,9,13,0,0,2013,2
57,1,6049,1,10,2013,2
57,2,1603,0,6,2013,2
57,8,58,0,0,2013,2
57,9,19,0,0,2013,2
58,1,132,1,10,2013,2
58,2,252,0,6,2013,2
58,8,3,0,0,2013,2
58,9,2,0,0,2013,2
59,1,13938,1,10,2013,2
59,2,14617,0,6,2013,2
59,8,331,0,0,2013,2
59,9,126,0,0,2013,2
60,1,6620,1,10,2013,2
60,2,2812,0,6,2013,2
60,8,102,0,0,2013,2
60,9,50,0,0,2013,2
61,1,4497,1,10,2013,2
61,2,1877,0,6,2013,2
61,8,65,0,0,2013,2
61,9,22,0,0,2013,2
62,1,4345,1,10,2013,2
62,2,1070,0,6,2013,2
62,8,65,0,0,2013,2
62,9,21,0,0,2013,2
63,1,7414,1,10,2013,2
63,2,7905,0,6,2013,2
63,8,285,0,0,2013,2
63,9,134,0,0,2013,2
64,1,47123,1,10,2013,2
64,2,34280,0,6,2013,2
64,8,1411,0,0,2013,2
64,9,604,0,0,2013,2
65,1,32630,1,10,2013,2
65,2,16832,0,6,2013,2
65,8,681,0,0,2013,2
65,9,214,0,0,2013,2
66,1,12134,1,10,2013,2
66,2,4831,0,6,2013,2
66,8,168,0,0,2013,2
66,9,89,0,0,2013,2
67,1,1593,1,10,2013,2
67,2,986,0,6,2013,2
67,8,36,0,0,2013,2
67,9,16,0,0,2013,2
68,1,24316,1,10,2013,2
68,2,13108,0,6,2013,2
68,8,459,0,0,2013,2
68,9,221,0,0,2013,2
69,1,35404,1,10,2013,2
69,2,18160,0,6,2013,2
69,8,703,0,0,2013,2
69,9,276,0,0,2013,2
70,1,23693,1,10,2013,2
70,2,10690,0,6,2013,2
70,8,623,0,0,2013,2
70,9,226,0,0,2013,2
71,1,1784,1,10,2013,2
71,2,583,0,6,2013,2
71,8,20,0,0,2013,2
71,9,4,0,0,2013,2
72,1,4240,1,10,2013,2
72,2,2976,0,6,2013,2
72,8,62,0,0,2013,2
72,9,32,0,0,2013,2
73,1,4364,1,10,2013,2
73,2,2681,0,6,2013,2
73,8,62,0,0,2013,2
73,9,20,0,0,2013,2
74,1,6905,1,10,2013,2
74,2,3916,0,6,2013,2
74,8,125,0,0,2013,2
74,9,59,0,0,2013,2
75,1,1131,1,10,2013,2
75,2,352,0,6,2013,2
75,8,13,0,0,2013,2
75,9,13,0,0,2013,2
76,1,8811,1,10,2013,2
76,2,3598,0,6,2013,2
76,8,151,0,0,2013,2
76,9,67,0,0,2013,2
77,1,1505,1,10,2013,2
77,2,1231,0,6,2013,2
77,8,21,0,0,2013,2
77,9,17,0,0,2013,2
78,1,3529,1,10,2013,2
78,2,1257,0,6,2013,2
78,8,46,0,0,2013,2
78,9,25,0,0,2013,2
79,1,30416,1,10,2013,2
79,2,17014,0,6,2013,2
79,8,583,0,0,2013,2
79,9,249,0,0,2013,2
80,1,2795,1,10,2013,2
80,2,1402,0,6,2013,2
80,8,45,0,0,2013,2
80,9,24,0,0,2013,2
81,1,3714,1,10,2013,2
81,2,732,0,6,2013,2
81,8,71,0,0,2013,2
81,9,20,0,0,2013,2
82,1,5487,1,10,2013,2
82,2,2231,0,6,2013,2
82,8,84,0,0,2013,2
82,9,36,0,0,2013,2
83,1,36870,1,10,2013,2
