comuna_datachile_id,candidato_id,lista_id,partido_id,electo,votos_candidato,year,election_id
2,8,0,0,0,90,2013,3
2,9,0,0,0,190,2013,3
2,579,13,11,1,966,2013,3
2,580,1,7,1,401,2013,3
2,581,1,6,0,266,2013,3
2,582,13,9,0,257,2013,3
2,583,12,8,0,57,2013,3
2,584,12,12,0,53,2013,3
2,585,16,4,0,57,2013,3
2,586,16,4,0,48,2013,3
3,8,0,0,0,154,2013,3
3,9,0,0,0,313,2013,3
3,544,13,11,1,282,2013,3
3,545,1,6,1,557,2013,3
3,546,1,7,0,83,2013,3
3,547,13,9,0,408,2013,3
3,548,2,8,0,152,2013,3
3,549,12,8,0,131,2013,3
6,8,0,0,0,547,2013,3
6,9,0,0,0,980,2013,3
6,557,13,10,1,5583,2013,3
6,558,1,6,1,3031,2013,3
6,559,1,7,0,1828,2013,3
6,560,13,9,0,4253,2013,3
7,8,0,0,0,250,2013,3
7,9,0,0,0,321,2013,3
7,574,13,9,1,1565,2013,3
7,575,13,11,1,1938,2013,3
7,576,1,6,0,511,2013,3
7,577,1,7,0,947,2013,3
7,578,16,4,0,200,2013,3
9,8,0,0,0,2420,2013,3
9,9,0,0,0,1649,2013,3
9,567,13,8,1,33493,2013,3
9,568,13,8,1,20866,2013,3
9,569,1,6,0,26437,2013,3
9,570,2,8,0,9056,2013,3
9,571,2,8,0,5037,2013,3
9,572,12,8,0,1560,2013,3
9,573,16,4,0,2020,2013,3
10,8,0,0,0,97,2013,3
10,9,0,0,0,208,2013,3
10,544,13,11,1,736,2013,3
10,545,1,6,1,438,2013,3
10,546,1,7,0,133,2013,3
10,547,13,9,0,419,2013,3
10,548,2,8,0,118,2013,3
10,549,12,8,0,68,2013,3
11,8,0,0,0,717,2013,3
11,9,0,0,0,1053,2013,3
11,544,13,11,1,5192,2013,3
11,545,1,6,1,3269,2013,3
11,546,1,7,0,871,2013,3
11,547,13,9,0,2549,2013,3
11,548,2,8,0,1068,2013,3
11,549,12,8,0,820,2013,3
14,8,0,0,0,1271,2013,3
14,9,0,0,0,1499,2013,3
14,579,13,11,1,9010,2013,3
14,580,1,7,1,6462,2013,3
14,581,1,6,0,6811,2013,3
14,582,13,9,0,2718,2013,3
14,583,12,8,0,1070,2013,3
14,584,12,12,0,904,2013,3
14,585,16,4,0,624,2013,3
14,586,16,4,0,708,2013,3
15,8,0,0,0,423,2013,3
15,9,0,0,0,750,2013,3
15,535,13,38,1,1974,2013,3
15,536,1,6,1,2990,2013,3
15,537,1,8,0,155,2013,3
15,538,13,10,0,2756,2013,3
15,539,19,8,0,466,2013,3
15,540,19,8,0,158,2013,3
15,541,12,13,0,211,2013,3
15,542,12,12,0,320,2013,3
15,543,16,4,0,393,2013,3
17,8,0,0,0,31,2013,3
17,9,0,0,0,22,2013,3
17,561,13,9,1,194,2013,3
17,562,2,8,1,151,2013,3
17,563,2,8,0,19,2013,3
17,564,1,8,0,135,2013,3
17,565,1,8,0,36,2013,3
17,566,13,10,0,25,2013,3
18,8,0,0,0,535,2013,3
18,9,0,0,0,1088,2013,3
18,535,13,38,1,2737,2013,3
18,536,1,6,1,2790,2013,3
18,537,1,8,0,136,2013,3
18,538,13,10,0,2570,2013,3
18,539,19,8,0,519,2013,3
18,540,19,8,0,220,2013,3
18,541,12,13,0,265,2013,3
18,542,12,12,0,312,2013,3
18,543,16,4,0,978,2013,3
19,8,0,0,0,1906,2013,3
19,9,0,0,0,2063,2013,3
19,567,13,8,1,19786,2013,3
19,568,13,8,1,4773,2013,3
19,569,1,6,0,8430,2013,3
19,570,2,8,0,7186,2013,3
19,571,2,8,0,4049,2013,3
19,572,12,8,0,2120,2013,3
19,573,16,4,0,1450,2013,3
20,8,0,0,0,475,2013,3
20,9,0,0,0,1493,2013,3
20,557,13,10,1,4188,2013,3
20,558,1,6,1,1997,2013,3
20,559,1,7,0,2438,2013,3
20,560,13,9,0,1330,2013,3
23,8,0,0,0,386,2013,3
23,9,0,0,0,522,2013,3
23,579,13,11,1,2372,2013,3
23,580,1,7,1,2634,2013,3
23,581,1,6,0,2564,2013,3
23,582,13,9,0,1609,2013,3
23,583,12,8,0,343,2013,3
23,584,12,12,0,247,2013,3
23,585,16,4,0,244,2013,3
23,586,16,4,0,206,2013,3
27,8,0,0,0,95,2013,3
27,9,0,0,0,262,2013,3
27,574,13,9,1,1458,2013,3
27,575,13,11,1,2007,2013,3
27,576,1,6,0,302,2013,3
27,577,1,7,0,280,2013,3
27,578,16,4,0,105,2013,3
28,8,0,0,0,601,2013,3
28,9,0,0,0,1109,2013,3
28,544,13,11,1,4086,2013,3
28,545,1,6,1,3087,2013,3
28,546,1,7,0,1115,2013,3
28,547,13,9,0,2039,2013,3
28,548,2,8,0,581,2013,3
28,549,12,8,0,596,2013,3
32,8,0,0,0,626,2013,3
32,9,0,0,0,867,2013,3
32,557,13,10,1,4256,2013,3
32,558,1,6,1,2747,2013,3
32,559,1,7,0,1280,2013,3
32,560,13,9,0,6344,2013,3
35,8,0,0,0,1196,2013,3
35,9,0,0,0,935,2013,3
35,579,13,11,1,9104,2013,3
35,580,1,7,1,6543,2013,3
35,581,1,6,0,4989,2013,3
35,582,13,9,0,6213,2013,3
35,583,12,8,0,1140,2013,3
35,584,12,12,0,791,2013,3
35,585,16,4,0,684,2013,3
35,586,16,4,0,637,2013,3
36,8,0,0,0,2203,2013,3
36,9,0,0,0,1972,2013,3
36,579,13,11,1,24345,2013,3
36,580,1,7,1,9694,2013,3
36,581,1,6,0,5243,2013,3
36,582,13,9,0,5534,2013,3
36,583,12,8,0,1781,2013,3
36,584,12,12,0,1690,2013,3
36,585,16,4,0,1138,2013,3
36,586,16,4,0,1184,2013,3
37,8,0,0,0,54,2013,3
37,9,0,0,0,154,2013,3
37,557,13,10,1,592,2013,3
37,558,1,6,1,272,2013,3
37,559,1,7,0,201,2013,3
37,560,13,9,0,262,2013,3
40,8,0,0,0,179,2013,3
40,9,0,0,0,338,2013,3
40,597,13,10,1,1936,2013,3
40,598,1,6,1,1276,2013,3
40,599,1,7,0,971,2013,3
40,600,13,9,0,1571,2013,3
40,601,16,4,0,180,2013,3
41,8,0,0,0,1027,2013,3
41,9,0,0,0,844,2013,3
41,535,13,38,1,11090,2013,3
41,536,1,6,1,7693,2013,3
41,537,1,8,0,934,2013,3
41,538,13,10,0,5072,2013,3
41,539,19,8,0,3164,2013,3
41,540,19,8,0,329,2013,3
41,541,12,13,0,640,2013,3
41,542,12,12,0,553,2013,3
41,543,16,4,0,916,2013,3
43,8,0,0,0,2546,2013,3
43,9,0,0,0,3067,2013,3
43,544,13,11,1,28931,2013,3
43,545,1,6,1,11875,2013,3
43,546,1,7,0,12641,2013,3
43,547,13,9,0,7804,2013,3
43,548,2,8,0,2660,2013,3
43,549,12,8,0,3539,2013,3
44,8,0,0,0,398,2013,3
44,9,0,0,0,527,2013,3
44,544,13,11,1,4173,2013,3
44,545,1,6,1,1428,2013,3
44,546,1,7,0,1550,2013,3
44,547,13,9,0,1693,2013,3
44,548,2,8,0,453,2013,3
44,549,12,8,0,553,2013,3
45,8,0,0,0,505,2013,3
45,9,0,0,0,707,2013,3
45,597,13,10,1,6735,2013,3
45,598,1,6,1,1512,2013,3
45,599,1,7,0,2642,2013,3
45,600,13,9,0,1760,2013,3
45,601,16,4,0,452,2013,3
47,8,0,0,0,176,2013,3
47,9,0,0,0,636,2013,3
47,557,13,10,1,1481,2013,3
47,558,1,6,1,762,2013,3
47,559,1,7,0,497,2013,3
47,560,13,9,0,2100,2013,3
49,8,0,0,0,80,2013,3
49,9,0,0,0,194,2013,3
49,535,13,38,1,358,2013,3
49,536,1,6,1,874,2013,3
49,537,1,8,0,33,2013,3
49,538,13,10,0,957,2013,3
49,539,19,8,0,115,2013,3
49,540,19,8,0,67,2013,3
49,541,12,13,0,54,2013,3
49,542,12,12,0,82,2013,3
49,543,16,4,0,107,2013,3
50,8,0,0,0,69,2013,3
50,9,0,0,0,152,2013,3
50,557,13,10,1,667,2013,3
50,558,1,6,1,250,2013,3
50,559,1,7,0,343,2013,3
50,560,13,9,0,123,2013,3
52,8,0,0,0,216,2013,3
52,9,0,0,0,222,2013,3
52,597,13,10,1,2892,2013,3
52,598,1,6,1,902,2013,3
52,599,1,7,0,545,2013,3
52,600,13,9,0,491,2013,3
52,601,16,4,0,224,2013,3
53,8,0,0,0,280,2013,3
53,9,0,0,0,457,2013,3
53,535,13,38,1,1324,2013,3
53,536,1,6,1,2728,2013,3
53,537,1,8,0,60,2013,3
53,538,13,10,0,2766,2013,3
53,539,19,8,0,373,2013,3
