"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"o16",0.3146,1,1,1,1,0,0,0,0,1,1,0
"o17",0.3146,1,1,1,1,1,1,1,1,1,1,0
"o18",0.3146,1,1,1,1,0,1,1,1,1,1,0
"o19",0.3146,1,1,1,1,0,0,0,1,1,1,0
"o20",0.3146,1,1,1,1,0,1,0,1,1,0,0
"o21",0.0272,1,0,1,1,0,0,1,0,1,1,1
"rama4_sub",0.0266,1,1,0,0,0,0,0,0,0,0,0
"rama1_sub",0.0266,1,1,0,0,0,0,0,0,0,0,0
"o22",0.414,1,1,1,1,1,1,0,1,1,0,0
"rama4",0.414,1,1,0,0,0,0,0,0,0,0,0
"rama1",0.414,1,1,0,0,0,0,0,0,0,0,0
"o23",0.414,1,0,1,1,0,1,0,1,0,0,0
"o24a",0.414,0,0,0,0,0,0,0,0,0,0,0
"o24b",0.414,0,0,0,0,0,0,0,0,0,0,0
"o24c",0.414,0,0,0,0,0,0,0,0,0,0,0
"o24d",0.414,0,0,0,0,0,0,0,0,0,0,0
"o25a_hr",0.0823,0,0,0,0,0,0,0,0,0,0,0
"o25a_min",0.3093,0,0,0,0,0,0,0,0,0,0,0
"o25b",0.3638,0,0,0,0,0,0,0,0,0,0,0
"o25c",0.3638,0,0,0,0,0,0,0,0,0,0,0
"o26",0.414,1,1,1,1,1,1,0,0,0,0,0
"o27",0.0161,1,1,1,0,1,1,1,1,0,0,0
"o28",0.7968,1,1,1,1,1,1,1,1,0,0,0
"o29",0.5405,1,1,1,1,1,1,1,1,0,0,0
"o29_esp",0.0001,0,0,0,0,0,0,0,0,0,0,0
"o30",0.7968,1,1,1,1,1,1,0,1,0,0,0
"o0",0.8389,1,1,0,0,0,0,0,0,0,0,0
"ch1",1,0,0,0,0,0,0,0,0,0,0,0
"y1",0.3076,0,0,0,0,0,1,0,0,0,0,0
"y2d",0.3146,1,0,0,0,0,0,0,0,0,0,0
"y2h",0.3146,1,0,0,0,0,0,0,0,0,0,0
"y3a",0.0354,0,0,0,0,0,0,0,0,0,0,0
"y3ap",0.0266,0,0,0,0,0,0,0,0,0,0,0
"y3b",0.0091,0,0,0,0,0,0,0,0,0,0,0
"y3bp",0.0058,0,0,0,0,0,0,0,0,0,0,0
"y3c",0.0058,0,0,0,0,0,0,0,0,0,0,0
"y3cp",0.0038,0,0,0,0,0,0,0,0,0,0,0
"y3d",0.008,0,0,0,0,0,0,0,0,0,0,0
"y3dp",0.0056,0,0,0,0,0,0,0,0,0,0,0
"y3e",0.0083,0,0,0,0,0,0,0,0,0,0,0
"y3ep",0.0056,0,0,0,0,0,0,0,0,0,0,0
"y3f",0.004,0,0,0,0,0,0,0,0,0,0,0
"y3fp",0.0023,0,0,0,0,0,0,0,0,0,0,0
"y3f_esp",0.0023,0,0,0,0,0,0,0,0,0,0,0
"y4a",0.1311,0,0,0,0,0,0,0,0,0,0,0
"y4b",0.0289,0,0,0,0,0,0,0,0,0,0,0
"y4c",0.0039,0,0,0,0,0,0,0,0,0,0,0
"y4d",0.0028,0,0,0,0,0,0,0,0,0,0,0
"y4d_esp",0.0013,0,0,0,0,0,0,0,0,0,0,0
"y5a",0.0214,0,0,0,0,0,0,0,0,0,0,0
"y5b",0.0086,0,0,0,0,0,0,0,0,0,0,0
"y5c",0.0073,0,0,0,0,0,0,0,0,0,0,0
"y5d",0.0018,0,0,0,0,0,0,0,0,0,0,0
"y5e",0.0103,0,0,0,0,0,0,0,0,0,0,0
"y5f",0.0031,0,0,0,0,0,0,0,0,0,0,0
"y5g",0.0059,0,0,0,0,0,0,0,0,0,0,0
"y5h",0.0065,0,0,0,0,0,0,0,0,0,0,0
"y5i",0.0016,0,0,0,0,0,0,0,0,0,0,0
"y5j",0.0034,0,0,0,0,0,0,0,0,0,0,0
"y5k",0.0022,0,0,0,0,0,0,0,0,0,0,0
"y5l",0.0021,0,0,0,0,0,0,0,0,0,0,0
"ch2",0.3146,0,0,0,0,0,0,0,0,0,0,0
"y6",0.0108,0,0,0,0,0,0,0,0,0,0,0
"y7",0.0922,0,0,0,0,0,1,0,0,0,0,0
"y8",0.0235,0,0,0,0,0,0,0,0,0,0,0
"y9",0.015,0,0,0,0,0,1,0,0,0,0,0
"ch3",0.0975,0,0,0,0,0,0,0,0,0,0,0
"y10",0.0037,0,0,0,0,0,0,0,0,0,0,0
"y11",0.0127,0,0,0,0,0,1,0,0,0,0,0
"y12a",0.0162,0,0,0,0,0,0,0,0,0,0,0
"y12b",0.0009,0,0,0,0,0,0,0,0,0,0,0
"y13a",0.0317,0,0,0,0,0,0,0,0,0,0,0
"y13b",0.0152,0,0,0,0,0,0,0,0,0,0,0
"y13c",0.0008,0,0,0,0,0,0,0,0,0,0,0
"y14a",0.0075,0,0,0,0,0,0,0,0,0,0,0
"y14b",0.009,0,0,0,0,0,0,0,0,0,0,0
"y14c",0.0043,0,0,0,0,0,0,0,0,0,0,0
"y15a",0.0043,0,0,0,0,0,0,0,0,0,0,0
"y15b",0.0014,0,0,0,0,0,0,0,0,0,0,0
"y15c",0.0018,0,0,0,0,0,0,0,0,0,0,0
"y16a",0.0016,0,0,0,0,0,0,0,0,0,0,0
"y16b",0.0012,0,0,0,0,0,0,0,0,0,0,0
"y17",0.04,0,0,0,0,0,0,0,0,0,0,0
"y18a",0.0133,0,0,0,0,0,0,0,0,0,0,0
"y18b",0.0015,0,0,0,0,0,0,0,0,0,0,0
"y18c",0.0335,0,0,0,0,0,0,0,0,0,0,0
"y18d",0.002,0,0,0,0,0,0,0,0,0,0,0
"y18d_esp",0.0019,0,0,0,0,0,0,0,0,0,0,0
"y19t",1,0,0,0,0,0,0,0,0,0,0,0
"y19n",0.0434,1,0,0,0,0,0,0,0,0,0,0
"y20a",1,0,0,0,0,0,0,0,0,0,0,0
"y20b",1,0,0,0,0,0,0,0,0,0,0,0
"y20c",1,0,0,0,0,0,0,0,0,0,0,0
