"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"r8n",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8o",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8p",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8q",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8r",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8r_esp",0.0083,0,0,0,0,0,0,0,0,0,0,0
"r8resp_cod",0.0076,0,0,0,0,0,0,0,0,0,0,0
"r8s",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r9",0.578,1,1,1,0,1,0,0,0,0,0,0
"r10a",0.578,0,0,1,1,1,0,0,0,0,0,0
"r10b",0.578,0,0,1,1,1,0,0,0,0,0,0
"r11a",0.3581,1,1,1,0,0,0,0,0,0,0,0
"r11b",0.3192,1,1,1,0,0,0,0,0,0,0,0
"r12",0.3756,1,1,1,0,1,0,0,0,0,0,0
"r13a",0.0281,1,1,1,0,0,0,0,0,0,0,0
"r13b",0.1249,1,1,1,0,0,0,0,0,0,0,0
"r14a",0.3756,1,1,0,0,0,0,0,0,0,0,0
"r14b",0.3756,1,1,0,0,0,0,0,0,0,0,0
"r14c",0.3756,1,1,0,0,0,0,0,0,0,0,0
"r14d",0.3756,1,1,0,0,0,0,0,0,0,0,0
"r14e",0.3756,1,1,0,0,0,0,0,0,0,0,0
"r15a",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r15b",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r15c",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r15d",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r15e",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r15f",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r16",0.1282,1,1,0,0,0,0,0,0,0,0,0
"r17",0.9342,1,1,1,1,0,0,0,0,0,0,0
"r18",0.5734,0,0,0,0,1,0,0,0,0,0,0
"r19a",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r19b",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r19c",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r19d",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r19e",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r19f",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r19g",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r19h",0.5734,0,0,0,0,0,0,0,0,0,0,0
"r20",0.9342,1,1,0,0,0,0,0,0,0,0,0
"r21",0.4118,0,0,0,0,1,0,0,0,0,0,0
"r21_esp",0.0001,0,0,0,0,0,0,0,0,0,0,0
"r22",0.4118,0,0,0,0,0,0,0,0,0,0,0
"r22_esp",0.0002,0,0,0,0,0,0,0,0,0,0,0
"r0",0.8389,1,1,1,0,0,0,0,0,0,0,0
"v1",1,1,1,1,1,1,1,1,1,1,1,1
"v2",1,1,1,1,0,0,1,1,1,1,1,1
"v3",1,1,1,1,0,0,1,1,1,1,1,1
"v4",1,1,1,1,1,1,1,1,1,1,1,1
"v5",1,1,1,1,1,1,1,1,1,1,1,1
"v6",1,1,1,1,1,1,1,1,1,1,1,1
"v7",1,1,1,0,0,1,1,1,1,1,1,1
"v8",0.9275,1,1,1,0,0,1,1,1,1,1,1
"v9",1,1,1,1,0,0,1,1,1,1,1,1
"v10",0.6429,1,1,1,0,0,1,1,1,1,1,1
"v11",1,1,1,1,1,1,1,1,1,1,1,1
"v11mt",0.0282,0,0,0,0,0,0,0,0,0,0,0
"v11c",1,0,0,0,0,0,0,0,0,0,0,0
"v12",1,1,1,0,1,1,1,1,1,1,1,1
"v13",0.6627,1,1,0,0,0,1,1,1,1,1,1
"v14",0.6584,1,1,0,1,1,1,1,1,1,1,1
"v15",0.6584,1,1,1,1,1,1,1,1,1,1,1
"v16",0.6584,1,0,1,0,0,1,1,1,1,1,1
"v17",0.4048,1,1,1,1,1,1,1,1,1,1,1
"v18",0.1862,1,1,1,1,1,1,1,1,1,1,1
"v19",0.0939,1,1,1,1,1,1,1,1,1,1,1
"v20",0.0927,1,1,1,1,1,1,1,1,1,1,1
"v21",0.1607,1,1,1,1,1,1,1,1,1,1,1
"v22",1,1,1,1,1,1,1,1,1,1,1,1
"v23",1,1,1,0,0,1,1,1,1,1,1,1
"v23_esp",0.0001,0,0,0,0,0,0,0,0,0,0,0
"v24",1,1,1,1,1,1,1,1,1,1,1,1
"v25",1,1,1,1,1,1,1,0,1,1,1,1
"v26",1,1,0,0,1,1,1,1,1,1,1,1
"v26_esp",0,0,0,0,0,0,0,0,0,0,0,0
"v27",1,1,0,1,1,1,1,1,1,1,1,1
"v28",0.3349,1,1,1,1,0,1,1,1,1,1,1
"v29a",0.9993,1,0,0,1,0,0,0,0,0,0,0
"v29b",0.9406,1,0,0,0,0,0,0,0,0,0,0
"v30",1,1,1,1,1,0,1,1,1,1,1,1
"v31",0.0404,1,1,1,1,0,1,1,1,1,1,1
"v32a",0.0403,1,0,0,1,0,0,0,0,0,0,0
"v32b",0.0393,1,0,0,0,0,0,0,0,0,0,0
"v33",0.0404,1,1,0,0,0,1,1,1,1,1,0
"v33_esp",0,0,0,0,0,0,0,0,0,0,0,0
"v34",0.0404,1,1,0,0,0,1,1,1,1,1,0
"v35",1,1,1,0,0,0,1,1,1,1,1,0
"v36a",1,0,0,0,0,0,0,0,0,0,0,0
"v36b",1,0,0,0,0,0,0,0,0,0,0,0
"v36c",1,0,0,0,0,0,0,0,0,0,0,0
"v37a",1,0,0,0,0,0,0,0,0,0,0,0
"v37b",1,0,0,0,0,0,0,0,0,0,0,0
"v37c",1,0,0,0,0,0,0,0,0,0,0,0
"v37d",1,0,0,0,0,0,0,0,0,0,0,0
"v37e",1,0,0,0,0,0,0,0,0,0,0,0
"v37f",1,0,0,0,0,0,0,0,0,0,0,0
"v37g",1,0,0,0,0,0,0,0,0,0,0,0
"v37h",1,0,0,0,0,0,0,0,0,0,0,0
"v37i",1,0,0,0,0,0,0,0,0,0,0,0
"v38a",1,0,0,0,0,0,0,0,0,0,0,0
"v38b",1,0,0,0,0,0,0,0,0,0,0,0
"v38c",1,0,0,0,0,0,0,0,0,0,0,0
"v38d",1,0,0,0,0,0,0,0,0,0,0,0
"v38e",1,0,0,0,0,0,0,0,0,0,0,0
"v39a",1,0,0,0,0,0,0,0,0,0,0,0
"v39b",1,0,0,0,0,0,0,0,0,0,0,0
"v39c",1,0,0,0,0,0,0,0,0,0,0,0
"v39d",1,0,0,0,0,0,0,0,0,0,0,0
"v39e",1,0,0,0,0,0,0,0,0,0,0,0
"v39f",1,0,0,0,0,0,0,0,0,0,0,0
"v39g",1,0,0,0,0,0,0,0,0,0,0,0
"v0a_1",1,0,0,0,0,0,0,0,0,0,0,0
"v0a_2",0.2878,0,0,0,0,0,0,0,0,0,0,0
"v0a_3",0.0473,0,0,0,0,0,0,0,0,0,0,0
"v0b",1,1,1,0,0,0,0,0,0,0,0,0
"y0101",0.2897,0,0,0,0,0,0,0,0,0,0,0
"y0301",0.0266,1,0,0,0,0,0,0,0,0,0,0
"y0302",0.0058,1,0,0,0,0,0,0,0,0,0,0
"y0303",0.0038,1,0,0,0,0,0,0,0,0,0,0
"y0304",0.0056,1,0,0,0,0,0,0,0,0,0,0
"y0305",0.0056,1,0,0,0,0,0,0,0,0,0,0
"y0306",0.0023,1,0,0,0,0,0,0,0,0,0,0
"y0401",0.1136,1,0,0,0,0,0,0,0,0,0,0
"y0402",0.018,1,0,0,0,0,0,0,0,0,0,0
"y0403",0.002,1,0,0,0,0,0,0,0,0,0,0
"y0404",0.0013,1,0,0,0,0,0,0,0,0,0,0
"y0501",0.0189,1,0,0,0,0,0,0,0,0,0,0
"y0502",0.0065,1,0,0,0,0,0,0,0,0,0,0
"y0503",0.0066,1,0,0,0,0,0,0,0,0,0,0
"y0504",0.0012,1,0,0,0,0,0,0,0,0,0,0
"y0505",0.0089,1,0,0,0,0,0,0,0,0,0,0
"y0506",0.0024,1,0,0,0,0,0,0,0,0,0,0
"y0507",0.0049,1,0,0,0,0,0,0,0,0,0,0
"y0508",0.005,1,0,0,0,0,0,0,0,0,0,0
"y0509",0.0008,1,0,0,0,0,0,0,0,0,0,0
"y0510",0.0026,1,0,0,0,0,0,0,0,0,0,0
"y0511",0.0013,1,0,0,0,0,0,0,0,0,0,0
"y0512",0.0013,1,0,0,0,0,0,0,0,0,0,0
"yids",0.0118,1,0,0,0,0,0,0,0,0,0,0
"yosa",0.0042,1,0,0,0,0,0,0,0,0,0,0
"yta1",0.0034,1,0,0,0,0,0,0,0,0,0,0
"y0701",0.0862,0,0,0,0,0,0,0,0,0,0,0
"y0801",0.021,1,0,0,0,0,0,0,0,0,0,0
"y0901",0.0112,1,0,0,0,0,0,0,0,0,0,0
"yac2",0.0391,1,0,0,0,0,0,0,0,0,0,0
"y1101",0.0117,1,0,0,0,0,0,0,0,0,0,0
"yosi",0.0092,1,0,0,0,0,0,0,0,0,0,0
"yta2",0.0049,1,0,0,0,0,0,0,0,0,0,0
"yre1",0.0155,1,0,0,0,0,0,0,0,0,0,0
"yama",0.0006,1,0,0,0,0,0,0,0,0,0,0
"yah1",0.0029,1,0,0,0,0,0,0,0,0,0,0
"yah2",0.0009,1,0,0,0,0,0,0,0,0,0,0
"yrut",0.0012,1,0,0,0,0,0,0,0,0,0,0
"yre2",0.0014,1,0,0,0,0,0,0,0,0,0,0
"yre3",0.001,1,0,0,0,0,0,0,0,0,0,0
"y260201",0.0082,0,0,0,0,0,0,0,0,0,0,0
"y260202",0.0061,0,0,0,0,0,0,0,0,0,0,0
"y2603",0.0571,1,0,0,0,0,0,0,0,0,0,0
"yinv01",0.0012,0,0,0,0,0,0,0,0,0,0,0
"yinv02",0.0007,0,0,0,0,0,0,0,0,0,0,0
"yinv03",0.0075,0,0,0,0,0,0,0,0,0,0,0
"ymon",0.0223,1,0,0,0,0,0,0,0,0,0,0
"yorf",0.0019,1,0,0,0,0,0,0,0,0,0,0
"yesp",0.0039,0,0,0,0,0,0,0,0,0,0,0
"yotp",0.0023,1,0,0,0,0,0,0,0,0,0,0
"y2601",0.0455,1,0,0,0,0,0,0,0,0,0,0
"y2604",0.0134,0,0,0,0,0,0,0,0,0,0,0
"ymes",0.0307,1,0,0,0,0,0,0,0,0,0,0
"yfa1",0.0147,1,0,0,0,0,0,0,0,0,0,0
"yfa2",0.0006,1,0,0,0,0,0,0,0,0,0,0
"ydes",0.0036,1,0,0,0,0,0,0,0,0,0,0
"ydon",0.0012,1,0,0,0,0,0,0,0,0,0,0
"ydim",0.0274,1,0,0,0,0,0,0,0,0,0,0
"yotr",0.0019,1,0,0,0,0,0,0,0,0,0,0
"y2301",0.0031,1,0,0,0,0,0,0,0,0,0,0
"y2401",0.0507,1,0,0,0,0,0,0,0,0,0,0
"y2501",0.0772,1,0,0,0,0,0,0,0,0,0,0
"y2502",0.0065,1,0,0,0,0,0,0,0,0,0,0
"y2503",0.005,1,0,0,0,0,0,0,0,0,0,0
"y2504",0.0439,1,0,0,0,0,0,0,0,0,0,0
"y2505",0.0033,1,0,0,0,0,0,0,0,0,0,0
"y2506",0.0053,1,0,0,0,0,0,0,0,0,0,0
"y2507",0.0056,1,0,0,0,0,0,0,0,0,0,0
"y2302",0.0029,1,0,0,0,0,0,0,0,0,0,0
"y2303",0.0046,1,0,0,0,0,0,0,0,0,0,0
"y2001",0.0631,1,0,0,0,0,0,0,0,0,0,0
"y2002",0.0011,1,0,0,0,0,0,0,0,0,0,0
"y2003",0.0327,1,0,0,0,0,0,0,0,0,0,0
"y2004",0.0001,1,0,0,0,0,0,0,0,0,0,0
"y2005",0.0015,1,0,0,0,0,0,0,0,0,0,0
"y2201",0.0024,1,0,0,0,0,0,0,0,0,0,0
"y2202",0.0015,1,0,0,0,0,0,0,0,0,0,0
"y2203",0.0017,1,0,0,0,0,0,0,0,0,0,0
"y2204",0.0024,1,0,0,0,0,0,0,0,0,0,0
"y2205",0.0032,1,0,0,0,0,0,0,0,0,0,0
"yfam",0.0433,1,0,0,0,0,0,0,0,0,0,0
"ytro",0.007,1,0,0,0,0,0,0,0,0,0,0
"yaut",0.5181,0,0,0,0,0,0,0,0,0,0,0
"ysub",0.2998,1,0,0,0,0,0,0,0,0,0,0
"ytot",0.6655,0,0,0,0,0,0,0,0,0,0,0
"y0101h",0.7044,0,0,0,0,0,0,0,0,0,0,0
"y0301h",0.0894,1,0,0,0,0,0,0,0,0,0,0
"y0302h",0.02,1,0,0,0,0,0,0,0,0,0,0
"y0303h",0.0132,1,0,0,0,0,0,0,0,0,0,0
"y0304h",0.0189,1,0,0,0,0,0,0,0,0,0,0
"y0305h",0.0184,1,0,0,0,0,0,0,0,0,0,0
"y0306h",0.0069,1,0,0,0,0,0,0,0,0,0,0
"y0401h",0.3201,1,0,0,0,0,0,0,0,0,0,0
"y0402h",0.0556,1,0,0,0,0,0,0,0,0,0,0
"y0403h",0.0062,1,0,0,0,0,0,0,0,0,0,0
"y0404h",0.0042,1,0,0,0,0,0,0,0,0,0,0
"y0501h",0.0596,1,0,0,0,0,0,0,0,0,0,0
"y0502h",0.021,1,0,0,0,0,0,0,0,0,0,0
"y0503h",0.0198,1,0,0,0,0,0,0,0,0,0,0
"y0504h",0.0039,1,0,0,0,0,0,0,0,0,0,0
"y0505h",0.0293,1,0,0,0,0,0,0,0,0,0,0
"y0506h",0.0077,1,0,0,0,0,0,0,0,0,0,0
"y0507h",0.0158,1,0,0,0,0,0,0,0,0,0,0
"y0508h",0.0157,1,0,0,0,0,0,0,0,0,0,0
"y0509h",0.0034,1,0,0,0,0,0,0,0,0,0,0
"y0510h",0.0086,1,0,0,0,0,0,0,0,0,0,0
"y0511h",0.0044,1,0,0,0,0,0,0,0,0,0,0
"y0512h",0.0042,1,0,0,0,0,0,0,0,0,0,0
"yosah",0.0132,1,0,0,0,0,0,0,0,0,0,0
"ytroh",0.0218,1,0,0,0,0,0,0,0,0,0,0
"yta1h",0.01,1,0,0,0,0,0,0,0,0,0,0
"y0701h",0.2528,0,0,0,0,0,0,0,0,0,0,0
"y0801h",0.0656,1,0,0,0,0,0,0,0,0,0,0
"y0901h",0.0316,1,0,0,0,0,0,0,0,0,0,0
"yosih",0.0283,1,0,0,0,0,0,0,0,0,0,0
"yta2h",0.0152,1,0,0,0,0,0,0,0,0,0,0
"yruth",0.0033,1,0,0,0,0,0,0,0,0,0,0
"yac2h",0.1002,1,0,0,0,0,0,0,0,0,0,0
"ydesh",0.0127,1,0,0,0,0,0,0,0,0,0,0
"yidsh",0.0404,1,0,0,0,0,0,0,0,0,0,0
"yotrh",0.0052,1,0,0,0,0,0,0,0,0,0,0
"y260201h",0.0208,0,0,0,0,0,0,0,0,0,0,0
"y2603h",0.1419,1,0,0,0,0,0,0,0,0,0,0
"yinv01h",0.0039,0,0,0,0,0,0,0,0,0,0,0
"yinv03h",0.0236,0,0,0,0,0,0,0,0,0,0,0
"ymonh",0.0609,1,0,0,0,0,0,0,0,0,0,0
"yorfh",0.0056,1,0,0,0,0,0,0,0,0,0,0
"yotph",0.0064,1,0,0,0,0,0,0,0,0,0,0
"yre1h",0.0449,1,0,0,0,0,0,0,0,0,0,0
"yre2h",0.0035,1,0,0,0,0,0,0,0,0,0,0
"yre3h",0.0028,1,0,0,0,0,0,0,0,0,0,0
"yamah",0.0018,1,0,0,0,0,0,0,0,0,0,0
"yah1h",0.0068,1,0,0,0,0,0,0,0,0,0,0
"yah2h",0.0023,1,0,0,0,0,0,0,0,0,0,0
"ydonh",0.0034,1,0,0,0,0,0,0,0,0,0,0
"ymesh",0.1149,1,0,0,0,0,0,0,0,0,0,0
"yfa1h",0.0347,1,0,0,0,0,0,0,0,0,0,0
"yfa2h",0.0016,1,0,0,0,0,0,0,0,0,0,0
"y1101h",0.0373,1,0,0,0,0,0,0,0,0,0,0
"ydimh",0.0805,1,0,0,0,0,0,0,0,0,0,0
"yfamh",0.17,1,0,0,0,0,0,0,0,0,0,0
"y2001h",0.1639,1,0,0,0,0,0,0,0,0,0,0
"y2002h",0.0045,1,0,0,0,0,0,0,0,0,0,0
"y2003h",0.1366,1,0,0,0,0,0,0,0,0,0,0
"y2004h",0.0005,1,0,0,0,0,0,0,0,0,0,0
"y2005h",0.006,1,0,0,0,0,0,0,0,0,0,0
"y2201h",0.0103,1,0,0,0,0,0,0,0,0,0,0
"y2202h",0.0056,1,0,0,0,0,0,0,0,0,0,0
"y2203h",0.007,1,0,0,0,0,0,0,0,0,0,0
"y2204h",0.0094,1,0,0,0,0,0,0,0,0,0,0
"y2205h",0.0127,1,0,0,0,0,0,0,0,0,0,0
"y2301h",0.0135,1,0,0,0,0,0,0,0,0,0,0
"y2302h",0.0123,1,0,0,0,0,0,0,0,0,0,0
"y2303h",0.0155,1,0,0,0,0,0,0,0,0,0,0
"y2401h",0.1652,1,0,0,0,0,0,0,0,0,0,0
"y2501h",0.2772,1,0,0,0,0,0,0,0,0,0,0
"y2502h",0.0266,1,0,0,0,0,0,0,0,0,0,0
"y2503h",0.0081,1,0,0,0,0,0,0,0,0,0,0
"y2504h",0.0992,1,0,0,0,0,0,0,0,0,0,0
"y2505h",0.0133,1,0,0,0,0,0,0,0,0,0,0
"y2506h",0.0205,1,0,0,0,0,0,0,0,0,0,0
"y2507h",0.016,1,0,0,0,0,0,0,0,0,0,0
"y2601h",0.1174,1,0,0,0,0,0,0,0,0,0,0
"y260202h",0.0152,0,0,0,0,0,0,0,0,0,0,0
"yinv02h",0.002,0,0,0,0,0,0,0,0,0,0,0
"y2604h",0.0439,0,0,0,0,0,0,0,0,0,0,0
"yesph",0.0111,0,0,0,0,0,0,0,0,0,0,0
"yauth",0.9701,0,0,0,0,0,0,0,0,0,0,0
"ysubh",0.6032,1,0,0,0,0,0,0,0,0,0,0
"ytoth",0.9982,0,0,0,0,0,0,0,0,0,0,0
"yaimh",0.8295,0,0,0,0,0,0,0,0,0,0,0
"ypch",0.9982,0,0,0,0,0,0,0,0,0,0,0
"y0101c",0.3074,1,0,0,0,0,0,0,0,0,0,0
"y0701c",0.0921,1,0,0,0,0,0,0,0,0,0,0
"y260201c",0.0084,0,0,0,0,0,0,0,0,0,0,0
"y2603c",0.0595,0,0,0,0,0,0,0,0,0,0,0
"y0101ch",0.7338,1,0,0,0,0,0,0,0,0,0,0
"y0701ch",0.269,1,0,0,0,0,0,0,0,0,0,0
"y2603ch",0.148,0,0,0,0,0,0,0,0,0,0,0
"y260201ch",0.0214,0,0,0,0,0,0,0,0,0,0,0
"yaimcorh",0.8104,1,0,0,0,0,0,0,0,0,0,0
"yautcor",0.5385,1,0,0,0,0,0,0,0,0,0,0
"ytotcor",0.6837,1,0,0,0,0,0,0,0,0,0,0
"yautcorh",0.9824,1,0,0,0,0,0,0,0,0,0,0
"ymonecorh",0.9975,1,0,0,0,0,0,0,0,0,0,0
"ytotcorh",0.9995,1,0,0,0,0,0,0,0,0,0,0
"yoprcor",0.3995,1,0,0,0,0,0,0,0,0,0,0
"yoprcorh",0.3995,1,0,0,0,0,0,0,0,0,0,0
"ytrabajocor",0.4392,1,0,0,0,0,0,0,0,0,0,0
"ytrabajocorh",0.9062,1,0,0,0,0,0,0,0,0,0,0
"ypchautcor",0.9824,1,0,0,0,0,0,0,0,0,0,0
"ypchtot",0.9995,1,0,0,0,0,0,0,0,0,0,0
"ypchtrabajo",0.9062,1,0,0,0,0,0,0,0,0,0,0
"pobreza",0.999,0,0,0,0,0,0,0,0,0,0,0
"dau",0.999,0,0,1,1,1,1,1,1,1,1,1
"dautr",0.999,0,0,0,0,0,0,0,0,0,0,0
"qaut",0.999,0,1,1,1,1,1,1,1,1,1,1
"qautr",0.999,0,0,1,1,1,1,1,1,1,1,1
"expr",1,1,0,1,1,1,1,1,1,1,1,1
"expc",0.8023,1,0,1,1,1,1,1,1,1,1,1
"expr_div",0.4108,0,0,0,0,0,0,0,0,0,0,0
"car",0.8023,0,0,0,0,0,0,0,0,0,0,0
"varstrat",1,1,1,0,0,0,0,0,0,0,0,0
"varunit",1,1,1,0,0,0,0,0,0,0,0,0
"fecha_d<ed>a",1,0,0,0,0,0,0,0,0,0,0,0
"fecha_mes",1,0,0,0,0,0,0,0,0,0,0,0
"fecha_a<f1>o",1,0,0,0,0,0,0,0,0,0,0,0
"numper",1,1,1,1,1,1,1,1,1,1,1,1
"asiste",1,1,1,1,1,0,0,0,0,0,0,0
"esc",0.7723,1,1,1,1,1,1,1,1,1,1,1
"educ",1,1,1,1,1,1,1,1,0,0,1,1
"depen",0.2804,1,1,1,1,0,1,0,0,0,0,0
"activ",0.7968,1,1,1,1,1,1,0,1,0,0,0
"indmat",1,1,1,1,0,0,0,0,0,0,0,0
"indsan",1,1,1,1,0,0,0,0,0,0,0,0
"calglobviv",1,0,0,0,0,0,0,0,0,0,0,0
"iai",1,1,1,1,0,0,0,0,0,0,0,0
"iae",1,1,1,1,0,0,0,0,0,0,0,0
"hacinamiento",1,1,0,0,0,0,0,0,0,0,0,0
"hh_d_asis",0.0372,0,0,0,0,0,0,0,0,0,0,0
"hh_d_rez",0.0355,0,0,0,0,0,0,0,0,0,0,0
"hh_d_esc",0.3723,0,0,0,0,0,0,0,0,0,0,0
"hh_d_mal",0.0712,0,0,0,0,0,0,0,0,0,0,0
"hh_d_prevs",0.0676,0,0,0,0,0,0,0,0,0,0,0
"hh_d_acc",0.0488,0,0,0,0,0,0,0,0,0,0,0
"hh_d_act",0.1104,0,0,0,0,0,0,0,0,0,0,0
"hh_d_cot",0.361,0,0,0,0,0,0,0,0,0,0,0
"hh_d_jub",0.0985,0,0,0,0,0,0,0,0,0,0,0
"hh_d_habitab",0.2192,0,0,0,0,0,0,0,0,0,0,0
"hh_d_hacina",0.1046,0,0,0,0,0,0,0,0,0,0,0
"hh_d_estado",0.143,0,0,0,0,0,0,0,0,0,0,0
"hh_d_servbas",0.0618,0,0,0,0,0,0,0,0,0,0,0
"hh_d_entorno",0.1048,0,0,0,0,0,0,0,0,0,0,0
"hh_d_accesi",0.0657,0,0,0,0,0,0,0,0,0,0,0
"hh_d_medio",0.0412,0,0,0,0,0,0,0,0,0,0,0
"hh_d_appart",0.0523,0,0,0,0,0,0,0,0,0,0,0
"hh_d_tsocial",0.1337,0,0,0,0,0,0,0,0,0,0,0
"hh_d_seg",0.091,0,0,0,0,0,0,0,0,0,0,0
"pobreza_multi_4d",0.9731,0,0,0,0,0,0,0,0,0,0,0
"pobreza_multi_5d",0.9689,0,0,0,0,0,0,0,0,0,0,0
