date_id,date_index,year_id,quarter_id,quarter_name,month_id,month_name,week_id,week_name
84,1991-32,1991,3,1991-Q3,8,1991-8,32,1991-32
85,1991-33,1991,3,1991-Q3,8,1991-8,33,1991-33
86,1991-34,1991,3,1991-Q3,8,1991-8,34,1991-34
87,1991-35,1991,3,1991-Q3,8,1991-8,35,1991-35
88,1991-36,1991,3,1991-Q3,9,1991-9,36,1991-36
89,1991-37,1991,3,1991-Q3,9,1991-9,37,1991-37
90,1991-38,1991,3,1991-Q3,9,1991-9,38,1991-38
91,1991-39,1991,3,1991-Q3,9,1991-9,39,1991-39
92,1991-40,1991,3,1991-Q3,9,1991-9,40,1991-40
93,1991-41,1991,4,1991-Q4,10,1991-10,41,1991-41
94,1991-42,1991,4,1991-Q4,10,1991-10,42,1991-42
95,1991-43,1991,4,1991-Q4,10,1991-10,43,1991-43
96,1991-44,1991,4,1991-Q4,10,1991-10,44,1991-44
97,1991-45,1991,4,1991-Q4,11,1991-11,45,1991-45
98,1991-46,1991,4,1991-Q4,11,1991-11,46,1991-46
99,1991-47,1991,4,1991-Q4,11,1991-11,47,1991-47
100,1991-48,1991,4,1991-Q4,11,1991-11,48,1991-48
101,1991-49,1991,4,1991-Q4,12,1991-12,49,1991-49
102,1991-50,1991,4,1991-Q4,12,1991-12,50,1991-50
103,1991-51,1991,4,1991-Q4,12,1991-12,51,1991-51
104,1991-52,1991,4,1991-Q4,12,1991-12,52,1991-52
105,1992-1,1992,1,1992-Q1,1,1992-1,1,1992-1
106,1992-2,1992,1,1992-Q1,1,1992-1,2,1992-2
107,1992-3,1992,1,1992-Q1,1,1992-1,3,1992-3
108,1992-4,1992,1,1992-Q1,1,1992-1,4,1992-4
109,1992-5,1992,1,1992-Q1,1,1992-1,5,1992-5
110,1992-6,1992,1,1992-Q1,2,1992-2,6,1992-6
111,1992-7,1992,1,1992-Q1,2,1992-2,7,1992-7
112,1992-8,1992,1,1992-Q1,2,1992-2,8,1992-8
113,1992-9,1992,1,1992-Q1,2,1992-2,9,1992-9
114,1992-10,1992,1,1992-Q1,3,1992-3,10,1992-10
115,1992-11,1992,1,1992-Q1,3,1992-3,11,1992-11
116,1992-12,1992,1,1992-Q1,3,1992-3,12,1992-12
117,1992-13,1992,1,1992-Q1,3,1992-3,13,1992-13
118,1992-14,1992,1,1992-Q1,3,1992-3,14,1992-14
119,1992-15,1992,2,1992-Q2,4,1992-4,15,1992-15
120,1992-16,1992,2,1992-Q2,4,1992-4,16,1992-16
121,1992-17,1992,2,1992-Q2,4,1992-4,17,1992-17
122,1992-18,1992,2,1992-Q2,4,1992-4,18,1992-18
123,1992-19,1992,2,1992-Q2,5,1992-5,19,1992-19
124,1992-20,1992,2,1992-Q2,5,1992-5,20,1992-20
125,1992-21,1992,2,1992-Q2,5,1992-5,21,1992-21
126,1992-22,1992,2,1992-Q2,5,1992-5,22,1992-22
127,1992-23,1992,2,1992-Q2,6,1992-6,23,1992-23
128,1992-24,1992,2,1992-Q2,6,1992-6,24,1992-24
129,1992-25,1992,2,1992-Q2,6,1992-6,25,1992-25
130,1992-26,1992,2,1992-Q2,6,1992-6,26,1992-26
